"","Longitude","Latitude"
"1",10.8655,57.641333
"2",11.043333,57.379
"3",11.270833,57.4715
"4",11.5905,57.012667
"5",11.326167,56.326333
"6",11.131833,56.1255
"7",4.914171,60.423669
"8",3.213812,42.06166
"9",5.71851,59.05966
"10",-8.562183,57.79892
"11",3.212933,42.067358
"12",-5.087192,55.49761
"13",-5.087438,55.54604
"14",33.7017,72.0992
"15",-5.577362,54.39392
"16",-5.032855,50.176754
"17",11.0478,58.52388
"18",11.02687,58.50279
"19",10.57718,58.49446
"20",11.0624,58.53586
"21",-9.853923,51.76211
"22",11.39285,58.22223
"23",11.61011,58.39948
"24",-2.039881,50.203767
"25",-2.799352,50.20372
"26",11.06443,58.86412
"27",-4.414197,52.85856
"28",-4.454873,52.83982
"29",-4.454914,52.83976
"30",-5.270683,51.732784
"31",8.7269,42.58
"32",8.726,42.58
"33",8.7262,42.58
"34",8.7262,42.58
"35",8.7262,42.58
"36",8.7262,42.58
"37",8.7276,42.5801
"38",-5.725622,56.8472
"39",8.7262,42.58
"40",8.7269,42.58
"41",8.7269,42.58
"42",8.7276,42.5801
"43",8.7276,42.5801
"44",-157.857,21.2941
"45",-10.069057,53.46838
"46",-3.203981,58.910935
"47",-3.076877,59.010849
"48",-3.248621,58.897039
"49",4.725,60.666
"50",4.9207,60.4328
"51",4.725,60.666
"52",5.0005,60.1764
"53",5.7,53.45
"54",-157.869,21.3022
"55",-157.887,21.3154
"56",-157.865,21.305
"57",-157.87,21.3092
"58",-157.873,21.3109
"59",-157.877,21.3168
"60",-157.881,21.3168
"61",-157.883,21.3173
"62",-157.872,21.3069
"63",-2.97,35.97
"64",-2.98,35.96
"65",-2.98,35.96
"66",-2.99,35.95
"67",0.68,39.9
"68",-3.05,35.93
"69",0.68,39.85
"70",0.67,39.88
"71",-3.02,35.94
"72",-3.03,35.93
"73",0.68,39.85
"74",0.67,39.87
"75",-4.691973,51.671033
"76",-157.990351,21.376759
"77",-4.451739,50.344296
"78",0.24,38.76
"79",4.2,39.82
"80",2.42,39.64
"81",2.42,39.64
"82",2.42,39.64
"83",4.24,39.79
"84",3.29,39.32
"85",1.48,38.8
"86",0.54,39.83
"87",1.17,38.97
"88",1.48,38.8
"89",0.54,39.83
"90",19.874667,39.687333
"91",10.9,42.35
"92",10.9,42.35
"93",10.9,42.35
"94",19.95,39.624667
"95",19.95,39.668667
"96",19.868667,39.668667
"97",10.9,42.35
"98",19.95,39.624667
"99",-3.03,35.95
"100",-3.86,36.73
"101",13.6083,45.065
"102",11.11306,58.87666
"103",-5.656356,55.989695
"104",-5.659047,55.98422
"105",-5.640363,56.007252
"106",-5.649289,55.999795
"107",-5.636068,56.012774
"108",-79.8267,32.4117
"109",-81.6633,25.2967
"110",-0.69,37.64
"111",-0.69,37.64
"112",-80.2017,30.4483
"113",-4.660431,51.180695
"114",-4.674593,51.202857
"115",139.161,35.141
"116",-93.447222,27.914722
"117",-94.283333,28.166667
"118",-96.466667,27.533333
"119",-94.283333,28.166667
"120",-94.016667,28.333333
"121",-94.283333,28.166667
"122",-96.466667,27.533333
"123",139.161,35.141
"124",139.161,35.141
"125",174.785,-41.06
"126",-4.661572,51.172428
"127",-4.661572,51.172428
"128",-157.967262,21.32136
"129",139.345,34.758333
"130",139.161,35.141
"131",-80.223333,27.356383
"132",-157.967949,21.324239
"133",-157.967262,21.324878
"134",-82.6154,27.5859
"135",-82.602861,27.768194
"136",-158.193333,21.446167
"137",-158.183333,21.433333
"138",-83.966667,27.616667
"139",-83.966667,27.616667
"140",-83.9667,27.6167
"141",-157.7875,21.4325
"142",-76.35,34.27
"143",-76.702334,34.58054
"144",-76.35,34.27
"145",-76.702334,34.58054
"146",-76.35,34.27
"147",-76.702334,34.58054
"148",-76.35,34.27
"149",-80.0458,31.0333
"150",-80.0458,31.0333
"151",-80.0458,31.0333
"152",-80.101944,30.678611
"153",-80.101944,30.678611
"154",-80.101944,30.678611
"155",-80.3,31.016667
"156",-80.4,31.1
"157",174.0467,-40.7717
"158",-157.866667,21.3
"159",9.4114,64.1698
"160",9.4114,64.1698
"161",10.0542,64.04
"162",10.0542,64.04
"163",10.0364,64.0436
"164",13.7864,67.1893
"165",13.7864,67.1893
"166",13.7291,67.1799
"167",13.7291,67.1799
"168",13.7291,67.1799
"169",13.7291,67.1799
"170",13.7864,67.1893
"171",11.5956,65.0811
"172",11.5956,65.0811
"173",11.5956,65.0811
"174",11.5956,65.0811
"175",11.5956,65.0811
"176",5.6089,58.9596
"177",5.3902,59.0544
"178",5.3864,59.0569
"179",6.1845,62.4816
"180",11.5956,65.0811
"181",8.4688,63.3303
"182",6.2687,62.4743
"183",6.2687,62.4743
"184",6.3501,62.4319
"185",6.2687,62.4743
"186",6.2687,62.4743
"187",6.2687,62.4743
"188",11.7389,65.0878
"189",7.96,63.1534
"190",119.8766,-8.5014
"191",126.7069,3.9549
"192",130.7916,-1.7083
"193",130.7916,-1.7083
"194",130.7916,-1.7083
"195",4.9929,60.4308
"196",5.5132,59.7831
"197",11.1,58.87
"198",-157.886,21.3141
"199",-157.865,21.305
"200",-157.865,21.305
"201",153.333,-27.416
"202",-157.883,21.3173
"203",-7.865,47.948333
"204",-9.866667,48.7
"205",-157.869,21.3022
"206",-157.865,21.306
"207",-157.877,21.3168
"208",14.25,40.833333
"209",-122.433333,47.833333
"210",-157.887,21.3154
"211",-157.813002,21.45691
"212",-156.725,20.866667
"213",-157.873,21.3109
"214",-157.872,21.3069
"215",-157.857,21.2941
"216",-157.87,21.3092
"217",13.6345,45.079
"218",-157.881,21.3168
"219",-70.079167,12.357778
"220",-130,53
"221",-9,38.45833
"222",-9.05249,38.43988
"223",-9.19458,38.4101
"224",124,10.266667
"225",124,10.266667
"226",124,10.266667
"227",124,10.266667
"228",124,10.266667
"229",124,10.266667
"230",124,10.266667
"231",124,10.266667
"232",55.45,-4.583333
"233",55.355,-4.655
"234",109.65,18.233333
"235",8.133333,40.5
