"","Longitude","Latitude"
"1",-81.373912,31.180719
"2",-83.0616,29.0962
"3",3.7,51.4
"4",-70.867593,42.527746
"5",8.921531,54.132228
"6",-71.413549,41.618779
"7",11.66654,57.68733
"8",-68.20627,44.391362
"9",-70.88675,42.540272
"10",-67.652999,44.511216
"11",11.63484,57.69184
"12",-69.905053,43.829688
"13",-73.926085,40.583406
"14",-70.003975,41.883812
"15",-63.812748,45.310291
"16",3.45,51.45
"17",3.7,51.4
"18",12.630278,55.717778
"19",-76.58023,36.861815
"20",8.921818,54.044237
"21",3.8,51.65
"22",-70.927895,42.459892
"23",-68.836158,44.036445
"24",-73.71283,40.838833
"25",-70.815283,42.841549
"26",11.698691,58.006731
"27",11.70221,58.005094
"28",11.702511,58.004048
"29",11.702511,58.005253
"30",11.698562,58.010687
"31",11.703068,58.003889
"32",11.698691,58.006731
"33",11.70221,58.005094
"34",11.702511,58.004048
"35",11.702511,58.004048
"36",11.702511,58.004048
"37",11.702511,58.004048
"38",11.702511,58.005253
"39",11.698562,58.010687
"40",11.698562,58.010687
"41",11.698562,58.010687
"42",11.698562,58.010687
"43",11.703068,58.003889
"44",11.703068,58.003889
"45",11.703068,58.003889
"46",-72.95765,41.2514
"47",-76.071648,36.894656
"48",-122.410545,37.93953
"49",-122.410988,37.939433
"50",-122.41102,37.938913
"51",-80.290647,-2.748847
"52",-72.75815,41.2453
"53",-125.837185,49.249234
"54",3.7,51.4
"55",11.697103,58.010869
"56",11.696846,58.011097
"57",11.70221,58.005094
"58",11.702511,58.004048
"59",11.697103,58.010869
"60",11.697103,58.010869
"61",11.697103,58.010869
"62",11.697103,58.010869
"63",11.70221,58.005094
"64",11.702511,58.004048
"65",11.702511,58.004048
"66",11.702511,58.004048
"67",-70.866528,43.090016
"68",-70.543128,41.822962
"69",-71.987091,41.3228
"70",-73.97387,40.733275
"71",-70.383339,43.460026
"72",11.92493,57.55326
"73",-69.993522,43.867345
"74",-69.993538,43.867325
"75",-69.993483,43.867378
"76",-72.92486,41.285642
"77",-72.058908,41.015419
"78",-72.059035,41.015563
"79",12.0625,57.4365
"80",12.0625,57.4365
"81",4.65,52.45
"82",-73.832717,40.636392
"83",29.740534,45.246081
"84",-68.307037,44.43063
"85",5.115148,43.405101
"86",-52.224464,-32.070181
"87",-52.224464,-32.070181
"88",-52.223964,-32.070211
"89",-52.223964,-32.070211
"90",-52.223964,-32.070211
"91",-52.223964,-32.070211
"92",-52.224444,-32.069283
"93",-52.224444,-32.069283
"94",-52.224117,-32.069281
"95",-52.224117,-32.069281
"96",-52.224117,-32.069281
"97",-52.224117,-32.069281
"98",-52.223781,-32.069281
"99",-52.223781,-32.069281
"100",-52.223781,-32.069281
"101",-52.223781,-32.069281
"102",-52.223781,-32.069281
"103",-52.223781,-32.069281
"104",-52.224464,-32.070181
"105",-52.224464,-32.070181
"106",-52.223964,-32.070211
"107",-52.223964,-32.070211
"108",-52.224983,-32.071342
"109",-52.224983,-32.071342
"110",-52.224983,-32.071342
"111",-52.224983,-32.071342
"112",-52.224444,-32.069283
"113",-52.224444,-32.069283
"114",-52.224444,-32.069283
"115",-52.224444,-32.069283
"116",-52.224117,-32.069281
"117",-52.224117,-32.069281
"118",12.21203,56.94012
"119",11.43483,58.26
"120",-73.99932,40.696466
"121",-73.999173,40.696587
"122",-122.257469,37.804853
"123",-52.224814,-32.070167
"124",-52.224814,-32.070167
"125",-52.224814,-32.070167
"126",-52.224814,-32.070167
"127",-52.224814,-32.070167
"128",-52.224814,-32.070167
"129",-52.224464,-32.070181
"130",-52.224464,-32.070181
"131",-52.224464,-32.070181
"132",-52.224464,-32.070181
"133",-52.223964,-32.070211
"134",-52.223964,-32.070211
"135",-52.223964,-32.070211
"136",-52.223964,-32.070211
"137",-52.224983,-32.071342
"138",-52.224983,-32.071342
"139",-52.224983,-32.071342
"140",-52.224983,-32.071342
"141",-52.224539,-32.071353
"142",-52.224539,-32.071353
"143",-52.224539,-32.071353
"144",-52.224539,-32.071353
"145",-52.224008,-32.071347
"146",-52.224008,-32.071347
"147",-52.224008,-32.071347
"148",-52.224008,-32.071347
"149",-52.224444,-32.069283
"150",-52.224444,-32.069283
"151",-52.224117,-32.069281
"152",-52.224117,-32.069281
"153",-52.224117,-32.069281
"154",-52.224117,-32.069281
"155",-52.223781,-32.069281
"156",-52.223781,-32.069281
"157",-52.223781,-32.069281
"158",-52.223781,-32.069281
"159",-52.223781,-32.069281
"160",-52.223781,-32.069281
"161",-52.224814,-32.070167
"162",-52.224814,-32.070167
"163",-52.224814,-32.070167
"164",-52.224814,-32.070167
"165",-52.224814,-32.070167
"166",-52.224814,-32.070167
"167",-52.224464,-32.070181
"168",-52.224464,-32.070181
"169",-52.224464,-32.070181
"170",-52.224464,-32.070181
"171",-52.223964,-32.070211
"172",-52.223964,-32.070211
"173",-52.223964,-32.070211
"174",-52.223964,-32.070211
"175",-52.224983,-32.071342
"176",-52.224983,-32.071342
"177",-52.224983,-32.071342
"178",-52.224983,-32.071342
"179",-52.224539,-32.071353
"180",-52.224539,-32.071353
"181",-52.224444,-32.069283
"182",-52.224444,-32.069283
"183",-52.224117,-32.069281
"184",-52.224117,-32.069281
"185",-52.223781,-32.069281
"186",-52.223781,-32.069281
"187",-52.223781,-32.069281
"188",-52.223781,-32.069281
"189",11.436,58.25983
"190",11.436,58.25983
"191",11.436,58.25983
"192",12.30167,56.84667
"193",-74.013053,40.691672
"194",-118.29,33.69
"195",-118.274745,33.724552
"196",-52.221631,-32.069394
"197",-52.221631,-32.069394
"198",-52.221631,-32.069394
"199",-52.221631,-32.069394
"200",-52.221631,-32.069394
"201",-52.221631,-32.069394
"202",-52.221631,-32.069394
"203",-52.221631,-32.069394
"204",-52.221631,-32.069394
"205",-52.221631,-32.069394
"206",-52.221631,-32.069394
"207",-52.221631,-32.069394
"208",-52.221631,-32.069394
"209",-52.221631,-32.069394
"210",-52.221631,-32.069394
"211",-52.221631,-32.069394
"212",-52.222194,-32.070253
"213",-52.222194,-32.070253
"214",-52.221581,-32.070094
"215",-52.221581,-32.070094
"216",-52.222097,-32.071436
"217",-52.222097,-32.071436
"218",-52.222097,-32.071436
"219",-52.222097,-32.071436
"220",-52.222097,-32.071436
"221",-52.222097,-32.071436
"222",-52.221606,-32.071639
"223",-52.221606,-32.071639
"224",-52.221286,-32.071336
"225",-52.221286,-32.071336
"226",-52.222325,-32.069356
"227",-52.222325,-32.069356
"228",-52.222325,-32.069356
"229",-52.222325,-32.069356
"230",-52.221958,-32.069381
"231",-52.221958,-32.069381
"232",-52.221631,-32.069394
"233",-52.221631,-32.069394
"234",3.27,51.383
"235",31.666944,46.221944
"236",29.783889,45.603056
"237",31.666944,46.221944
"238",3.27,51.373
"239",-48.331,-25.297
"240",-48.395,-25.552
"241",-48.331,-25.297
"242",29.773889,45.298611
"243",29.783889,45.603056
"244",29.773889,45.298611
"245",7.376118,53.728252
"246",30.769278,46.451722
"247",30.769194,46.552972
"248",31.031472,46.601111
"249",30.772167,46.438528
"250",30.768333,46.4275
"251",30.772167,46.44375
"252",30.769278,46.451722
"253",30.749278,46.494167
"254",126.295936,36.633458
"255",30.772167,46.44375
"256",30.772167,46.438528
"257",30.768333,46.4275
"258",30.730278,46.3675
"259",-48.641,-26.235
"260",-48.641,-26.235
"261",2.60968,46.52183
"262",-70.208307,41.746168
"263",-73.54,40.88
"264",-73.54,40.88
"265",-73.997239,40.448002
"266",1.40009,45.45425
"267",-48.701,-26.249
"268",-76.541984,38.886152
"269",-80.329138,32.479888
"270",-70.745583,42.682383
"271",-1.087,45.89567
"272",-1.087,45.89567
"273",-76.0246,37.2669
"274",-76.0246,37.2669
"275",-76.0246,37.2669
"276",-76.0246,37.2669
"277",-76.0246,37.2669
"278",-76.0246,37.2669
"279",-76.0246,37.2669
"280",-76.0246,37.2669
"281",-76.0246,37.2669
"282",-75.6861,37.6077
"283",-75.6861,37.6077
"284",-76.0246,37.2669
"285",-75.6861,37.6077
"286",-76.0246,37.2669
"287",-76.03,37.27
"288",-76.03,37.27
"289",-75.69,37.61
"290",-76.03,37.27
"291",-76.03,37.27
"292",4.8,52.35
"293",-1.21889,45.94278
"294",-1.21889,45.94278
"295",126.538333,35.916722
"296",126.567278,35.916611
"297",126.538778,35.871722
"298",126.567111,35.871833
"299",126.52825,35.916889
"300",126.605167,35.833444
"301",3.256,51.373
"302",3.262,51.372
"303",-1.19989,46.26954
"304",-1.05998,46.03225
"305",-1.20065,46.26892
"306",-48.697,-26.296
"307",-48.687,-26.307
"308",3.65,51.5
"309",1.40009,45.45425
"310",-1.21882,45.9437
"311",-1.21882,45.9437
"312",-1.21882,45.9437
"313",-77.411155,6.25295
"314",-77.437461,6.272063
"315",-1.08813,45.89511
"316",-122.257338,37.804775
"317",3.14472,43.03627
"318",-1.087,45.89567
"319",29.651587,45.473124
"320",29.651587,45.473124
"321",29.644309,45.465255
"322",29.644309,45.465255
"323",-68.076965,44.374645
"324",-68.07685,44.374573
"325",-1.21583,45.91576
"326",-48.468,-25.51
"327",-48.468,-25.51
"328",13.71,45.700833
"329",-77.081336,3.891564
"330",-77.062754,3.89054
"331",8.645983,54.298885
"332",31.016667,46.383333
"333",126.5385,35.871889
"334",126.567472,35.872444
"335",126.605028,35.833417
"336",31.233333,45.216667
"337",0.526008,51.39222
"338",3.263,51.373
"339",-117.892849,33.62145
"340",12.7155,56
"341",12.7155,56
"342",12.68808,56.03333
"343",12.68808,56.03333
"344",1.192139,51.37842
"345",-83.0655,29.0977
"346",-83.06,29.097
"347",-83.0655,29.0977
"348",-83.0655,29.0977
"349",-2.54972,47.47055
"350",127.597778,34.919722
"351",4.8,52.4
"352",-1.10333,44.6775
"353",-2.22112,46.68597
"354",-2.22112,46.68597
"355",-1.19811,45.90127
"356",-1.19811,45.90127
