"","Longitude","Latitude"
"1",11.243417,55.254664
"2",-4.580595,53.274873
"3",11.918,57.62575
"4",11.78992,57.57494
"5",11.71285,57.99563
"6",10.602734,59.658949
"7",23.471972,70.296311
"8",-3.736908,53.30463
"9",4.389,52.205
"10",-4.550861,53.254045
"11",4.85,53.15
"12",3.55,51.4
"13",4.389,52.205
"14",-1.38355,46.05232
"15",4.85,53.15
"16",4.15,52.05
"17",3.7,51.4
"18",8.015104,53.688019
"19",8.298712,54.800873
"20",10.353302,56.265986
"21",10.487787,63.440855
"22",11.927658,57.62364
"23",11.927617,57.623675
"24",-70.566072,43.301795
"25",3.85,51.75
"26",6.99257,53.672447
"27",8.294275,54.753841
"28",8.295608,54.746513
"29",11.92839,57.62325
"30",11.92839,57.62325
"31",10.541244,57.458363
"32",5.607985,58.961379
"33",33.104654,66.553793
"34",10.431693,63.449772
"35",-69.10215,44.10498
"36",-1.78861,43.39028
"37",9.247338,58.712104
"38",-8.199846,51.844497
"39",18.819903,69.8507
"40",3.7,51.6
"41",3.7,51.6
"42",4.15,52.05
"43",3.85,51.75
"44",-5.772348,54.853353
"45",8.397582,55.494739
"46",11.752608,57.64867
"47",9.742339,55.525198
"48",9.713388,55.260062
"49",9.712179,55.261144
"50",10.654763,56.165764
"51",11.75262,57.648607
"52",4.55,52.45
"53",3.9,51.7
"54",10.014465,55.829948
"55",5.6,53.45
"56",4.6,52.65
"57",3.65,51.65
"58",5.75,53.45
"59",4.7,53.05
"60",3.7,51.65
"61",7.275614,53.724186
"62",8.408747,55.484692
"63",8.325577,54.959484
"64",8.458271,55.044891
"65",11.90399,57.59382
"66",5.745283,58.912464
"67",10.607333,56.519869
"68",9.70145,55.495853
"69",6.45,53.5
"70",5.65,53.4
"71",8.293514,54.756031
"72",8.506682,53.739998
"73",9.600892,54.877495
"74",8.470287,55.115398
"75",5.579149,59.030583
"76",5.05,53.3
"77",4.2,52.05
"78",5.300601,60.387069
"79",11.97038,57.35023
"80",8.821163,54.030563
"81",-72.9572,41.2514
"82",-6.176672,53.361994
"83",33.033164,66.552885
"84",3.35,51.35
"85",5.65,53.4
"86",-72.756411,41.244933
"87",9.074251,63.45982
"88",-70.90718,42.419543
"89",-72.75815,41.2453
"90",10.88903,57.247641
"91",11.394617,63.840383
"92",5.25,53.4
"93",6.37293,60.34445
"94",4.389,52.205
"95",3.6,51.4
"96",18.002346,69.636786
"97",4.85,53.05
"98",10.227778,56.980583
"99",11.368072,55.839122
"100",9.00501,54.393818
"101",18.819499,69.65196
"102",10.589323,59.732789
"103",4.1,51.95
"104",4.05,51.95
"105",4.35,52.15
"106",4.2,52.05
"107",4.1,51.95
"108",4.1,51.95
"109",4.2,52.05
"110",4.1,51.95
"111",4.2,52.05
"112",5.7,53.4
"113",10.177718,54.421443
"114",10.169775,54.433729
"115",-70.876477,42.5425
"116",8.35418,54.710182
"117",8.33313,54.967365
"118",7.223084,62.287058
"119",8.763739,58.423915
"120",3.4,51.35
"121",4.4,52.2
"122",9.858345,55.67916
"123",9.708944,55.522086
"124",11.434844,58.268328
"125",9.731383,55.260625
"126",10.881394,63.448382
"127",10.87737,63.45285
"128",8.299999,54.914253
"129",4.1,51.65
"130",34.566912,66.549317
"131",11.9744,57.34315
"132",8.111207,53.44783
"133",10.465696,59.361598
"134",10.478201,59.383401
"135",4.85,53.15
"136",33.95884,66.26047
"137",10.622293,59.677213
"138",10.622293,59.677213
"139",10.53488,59.680439
"140",10.53488,59.680439
"141",10.622293,59.677213
"142",10.622293,59.677213
"143",10.53488,59.680439
"144",10.622293,59.677213
"145",10.53488,59.680439
"146",10.622293,59.677213
"147",33.2,66.6
"148",33.2,66.6
"149",33.2,66.6
"150",33.2,66.6
"151",33.2,66.6
"152",10.860485,63.471007
"153",10.478201,59.383401
"154",4.85,53.15
"155",-1.24306,44.62848
"156",4.1,51.95
"157",21.50202,69.99895
"158",3.75,51.7
"159",8.439847,55.023273
"160",4.6,52.55
"161",4.55,52.5
"162",4.55,52.5
"163",10.708304,56.533563
"164",8.644048,53.899139
"165",8.687439,53.878441
"166",8.687439,53.878441
"167",8.46164,55.045273
"168",11.81566,58.06694
"169",10.744282,59.287065
"170",11.9033,57.5233
"171",11.46338,58.08165
"172",12.16288,57.20502
"173",12.08333,57.26867
"174",4.85,53.15
"175",4.85,53.15
"176",4.35,52.15
"177",10.887034,63.461762
"178",4.85,53.15
"179",11.61567,58.37026
"180",14.625552,67.227118
"181",3.95,51.9
"182",-2.16602,46.89871
"183",4.85,53.15
"184",9.69984,55.517482
"185",5.35,53.4
"186",5.85,53.4
"187",4.6,52.7
"188",-1.45321,46.23062
"189",-1.407709,50.717956
"190",-1.40771,50.718
"191",-4.1112,50.3611
"192",11.43447,58.2679
"193",11.59897,58.36237
"194",18.747615,69.676326
"195",3.7,51.4
"196",3.85,51.75
"197",3.7,51.4
"198",3.7,51.4
"199",8.313868,54.958603
"200",11.98575,57.35894
"201",11.98575,57.35894
"202",10.489484,59.842164
"203",3.45,51.5
"204",-71.01069,42.31056
"205",9.741523,55.525401
"206",7.908195,54.181953
"207",8.855693,54.127277
"208",8.835983,54.037601
"209",8.516254,54.567097
"210",6.990372,53.670811
"211",8.389904,54.62439
"212",8.442693,55.042458
"213",8.2922,54.747471
"214",11.26161,58.55805
"215",9.91564,63.526848
"216",10.757081,59.90233
"217",12.16283,57.205
"218",12.16283,57.205
"219",12.16283,57.205
"220",12.06467,57.35833
"221",3.4,51.5
"222",8.9535,58.6249
"223",9.2382,58.7217
"224",3.7,51.4
"225",3.7,51.4
"226",5.77143,59.97613
"227",8.539719,54.577065
"228",4.85,53.15
"229",5.2,53.35
"230",8.33107,54.95475
"231",8.515795,58.260875
"232",3.85,51.75
"233",3.8,51.75
"234",-73.54,40.88
"235",-73.48,40.91
"236",-73.48,40.91
"237",-73.54,40.88
"238",-73.54,40.88
"239",-73.48,40.91
"240",-73.48,40.91
"241",-73.54,40.88
"242",11.145,58.874
"243",11.145,58.874
"244",11.145,58.874
"245",11.145,58.874
"246",11.145,58.874
"247",11.145,58.874
"248",11.145,58.874
"249",11.145,58.874
"250",11.145,58.874
"251",11.145,58.874
"252",11.145,58.874
"253",11.145,58.874
"254",11.14,58.87
"255",11.14,58.87
"256",11.14,58.87
"257",11.14,58.87
"258",11.14,58.87
"259",11.14,58.87
"260",11.14,58.87
"261",11.14,58.87
"262",11.14,58.87
"263",11.14,58.87
"264",11.14,58.87
"265",11.14,58.87
"266",8.59574,53.862888
"267",8.586394,54.324173
"268",8.280365,54.766232
"269",8.308795,54.950966
"270",8.355103,54.989582
"271",6.664032,53.577702
"272",8.569894,54.685135
"273",8.280261,54.768017
"274",8.856858,54.12606
"275",8.282725,54.749557
"276",8.39819,54.628582
"277",8.493204,54.680244
"278",8.385865,55.039673
"279",8.295182,54.902199
"280",8.289914,54.747253
"281",11.85087,58.25017
"282",11.44003,58.24854
"283",-72.904237,41.24741
"284",8.615481,62.990146
"285",6.329,58.29443
"286",11.32107,58.48013
"287",11.46338,58.08165
"288",12.10667,57.13667
"289",5.2,53.4
"290",8.55011,54.566887
"291",8.095896,63.297403
"292",11.88,57.46
"293",4.872413,53.170429
"294",10.4073,63.4345
"295",10.4081,63.4345
"296",10.5062,63.4378
"297",5.312,60.3985
"298",5.312,60.3985
"299",10.3485,63.4404
"300",10.5055,63.439
"301",10.4993,63.4362
"302",10.5032,63.4369
"303",10.7538,59.8989
"304",10.7031,59.9104
"305",10.5055,63.439
"306",4.1,51.95
"307",5.273956,60.464901
"308",12.7155,56
"309",10.656715,59.428696
"310",4.7,52.9
"311",3.95,51.8
"312",8.477031,55.143803
"313",8.856933,54.12508
"314",11.26482,58.66588
"315",11.85087,58.25017
"316",9.247338,58.712104
"317",9.260193,58.718084
"318",9.109276,58.616161
"319",8.280346,54.764957
"320",8.582479,54.303257
"321",8.602492,54.283985
"322",7.031602,53.490414
"323",8.583841,54.29879
"324",8.588713,54.334095
"325",11.14149,58.86877
"326",-69.9916,41.7296
"327",11.84725,57.60515
"328",11.70692,57.7774
"329",11.64975,57.84385
"330",12.59032,56.0942
"331",12.13633,57.29917
"332",12.13633,57.29917
"333",12.07417,57.225
"334",8.80978,54.488518
"335",8.393833,54.627663
"336",8.59592,54.347534
"337",11.14472,58.84674
"338",11.14149,58.86877
"339",-72.9572,41.251039
"340",33.2,66.5
"341",33.2,66.5
"342",33.2,66.5
"343",-72.923711,41.286322
"344",-72.76,41.242
"345",-72.923711,41.286322
"346",-72.76,41.242
"347",-72.9039,41.2475
"348",11.26717,58.44027
"349",3.7,51.4
"350",3.7,51.4
"351",3.7,51.35
"352",-69.64,43.85
"353",-69.635,43.85
"354",9.461779,54.838369
"355",5.9,53.45
"356",-69.9916,41.7296
"357",-69.9916,41.7296
"358",7.828117,63.034494
"359",8.159065,58.123448
"360",-5.549481,54.51002
