"","Longitude","Latitude"
"1",-72.756406,41.245744
"2",-72.756406,41.245744
"3",29.767881,45.340613
"4",-4.68144,53.31456
"5",1.102663,52.95746
"6",1.054385,52.9678
"7",1.102078,52.9573
"8",-0.918819,50.77943
"9",1.102288,52.95721
"10",1.102995,52.95794
"11",1.138093,52.95075
"12",1.13725,52.95093
"13",1.144243,52.94993
"14",1.055564,52.96572
"15",1.054133,52.96655
"16",1.13725,52.95093
"17",1.138093,52.95075
"18",1.054133,52.96655
"19",11.131833,56.1255
"20",11.317333,54.985667
"21",11.371,55.114
"22",12.557667,54.957167
"23",1.100051,52.95894
"24",1.100269,52.95815
"25",1.137766,52.95076
"26",1.055104,52.96637
"27",1.054751,52.96645
"28",1.054447,52.96551
"29",1.102145,52.95928
"30",1.145887,52.95073
"31",1.135252,52.95121
"32",1.136425,52.95116
"33",1.055362,52.9677
"34",1.276765,52.93964
"35",1.052785,52.96761
"36",1.069067,52.96434
"37",1.102369,52.95751
"38",1.145098,52.95033
"39",1.535315,52.84269
"40",1.535315,52.84269
"41",1.085784,52.96168
"42",1.054145,52.96746
"43",1.137835,52.95079
"44",1.272249,52.94125
"45",1.055694,52.9664
"46",7.376118,53.728252
"47",1.213134,52.94747
"48",1.084266,52.96034
"49",-5.547187,50.103323
"50",-5.547066,50.10338
"51",-5.547187,50.103323
"52",1.167709,52.94959
"53",1.053082,52.96727
"54",1.167391,52.9482
"55",1.142652,52.95108
"56",1.167391,52.9482
"57",1.144663,52.94997
"58",1.142652,52.95108
"59",1.136755,52.95069
"60",1.34403,52.92343
"61",1.101448,52.95704
"62",1.054436,52.96556
"63",1.054564,52.9657
"64",1.216422,52.94844
"65",1.345952,52.92316
"66",1.055733,52.96706
"67",1.055733,52.96706
"68",-6.191826,54.068306
"69",1.146016,52.94973
"70",-1.920621,50.64388
"71",33.1,66.6
"72",33.1,66.6
"73",33.1,66.6
"74",1.35356,52.91734
"75",1.357232,52.91873
"76",10.482809,59.45012
"77",-1.974234,50.68488
"78",-1.971792,50.69786
"79",-1.960337,50.69664
"80",-1.971502,50.6847
"81",1.054472,52.96523
"82",1.142633,52.95083
"83",1.052538,52.96717
"84",1.142633,52.95083
"85",1.164248,51.94791
"86",1.348307,52.92002
"87",1.054472,52.96523
"88",1.141445,52.95108
"89",1.138469,52.95039
"90",1.158953,51.95116
"91",1.052538,52.96717
"92",1.054547,52.96545
"93",1.052323,52.96686
"94",1.054025,52.96807
"95",1.166946,52.95025
"96",1.14502,52.95069
"97",1.219628,52.9469
"98",1.349185,52.91974
"99",1.14502,52.95069
"100",1.753945,52.47004
"101",1.145501,52.94993
"102",1.207798,52.948
"103",1.143772,52.95052
"104",1.143815,52.9505
"105",1.100932,52.95803
"106",1.544534,52.08957
"107",9.808552,58.99358
"108",0.884835,51.77684
"109",0.872833,51.784576
"110",1.053409,52.96695
"111",0.872833,51.784576
"112",-3.778391,50.228832
"113",-5.47038,50.12053
"114",-5.197486,51.85797
"115",-5.204445,51.85633
"116",-4.316878,51.561684
"117",-4.316878,51.561684
"118",-5.641795,54.49006
"119",-5.283902,51.7014
"120",-5.544942,54.43472
"121",33.1,66.6
"122",-6.254029,54.10019
"123",-4.647897,51.174234
"124",-4.647897,51.174234
"125",-4.647897,51.174234
"126",1.195029,51.082451
"127",-1.750373,50.635178
"128",-1.431047,50.730189
"129",-1.431047,50.730189
"130",-5.270683,51.732784
"131",-5.548954,54.36088
"132",-4.454474,52.8093
"133",-5.484394,57.30687
"134",1.453573,51.393843
"135",1.454886,51.373116
"136",1.45352,51.374055
"137",1.457754,51.373031
"138",1.459515,51.396367
"139",-2.568775,51.655558
"140",-4.628892,53.309977
"141",-5.748709,56.85341
"142",-5.038848,50.182894
"143",-4.889566,51.717734
"144",-4.897896,51.737046
"145",-4.897153,51.73724
"146",-4.893383,51.756403
"147",-4.897873,51.736686
"148",-4.897873,51.736686
"149",-4.886949,51.731199
"150",-4.891299,51.76302
"151",-4.884214,51.729198
"152",-4.884214,51.729198
"153",-4.884214,51.729198
"154",-4.886949,51.731199
"155",-4.897873,51.736686
"156",-4.886949,51.731199
"157",-4.884214,51.729198
"158",-7.310038,57.102233
"159",-4.274241,52.73288
"160",-67.13,44.88
"161",-5.286519,51.731442
"162",-3.012472,58.833542
"163",-4.554724,53.249549
"164",-4.884539,51.719522
"165",-4.882448,51.732164
"166",-5.056129,51.687299
"167",-4.899752,51.708354
"168",-4.894868,51.767834
"169",-4.892674,51.756196
"170",-4.890093,51.715788
"171",-9.8396,53.38382
"172",-9.8396,53.38382
"173",-4.887774,51.724839
"174",-4.899621,51.751528
"175",-4.901198,51.708319
"176",-4.884539,51.719522
"177",-4.884539,51.719522
"178",-4.899621,51.751528
"179",-4.884539,51.719522
"180",-4.899621,51.751528
"181",-4.747623,58.448838
"182",-80.552,27.994833
"183",-80.552,27.994833
"184",-80.552,27.994833
"185",-7.236978,57.654887
"186",-7.329433,57.552926
"187",-4.995873,51.695148
"188",-4.884482,51.718624
"189",-4.995873,51.695148
"190",-4.882562,51.73396
"191",-4.882562,51.73396
"192",20.056,39.5
"193",0.883989,51.73214
"194",-4.17112,53.222993
"195",-3.976,51.569
"196",-3.976,51.569
"197",-5.073307,58.448629
"198",-5.010006,58.450132
"199",-3.434922,54.358634
"200",19.95,39.668667
"201",-5.328333,52.251667
"202",-5.89278,55.979749
"203",-5.949086,56.68566
"204",-4.336607,54.787709
"205",-6.698233,57.874885
"206",-6.430721,58.101267
"207",-5.32524,56.465667
"208",-5.354372,56.519721
"209",-4.186658,54.804888
"210",-4.216021,51.073947
"211",-5.424519,50.188347
"212",-6.677422,57.857665
"213",-6.66883,58.051373
"214",-5.48852,57.302656
"215",-5.488095,57.298173
"216",-5.473674,57.250927
"217",-3.509434,50.546521
"218",-5.48852,57.302656
"219",-3.49933,50.539457
"220",-3.509434,50.546521
"221",-5.48852,57.302656
"222",-1.219927,50.731757
"223",-4.978695,56.249752
"224",-5.826357,54.242914
