"","Longitude","Latitude"
"1",5.2121,60.2602
"2",5.2121,60.2602
"3",5.2121,60.2602
"4",5.2121,60.2602
"5",5.2121,60.2602
"6",5.47,55.02
"7",5.47,55.02
"8",5.47,55.02
"9",5.47,55.02
"10",5.47071,55.016
"11",5.47071,55.016
"12",5.47071,55.016
"13",5.47071,55.016
"14",-123.0123,48.5453
"15",-123.0123,48.5453
"16",-123.01,48.55
"17",-123.01,48.55
"18",6.66,54.3
"19",6.38,54.23
"20",6.38367,54.2335
"21",6.65617,54.3018
"22",11.1246,58.87818
"23",8.72747,42.5854
"24",8.72747,42.5854
"25",2.55,51.088889
"26",3.154167,51.473611
"27",2.852222,51.473611
"28",-121.9,36.616667
"29",-12.477778,-37.41944
"30",-12.68,-37.3
"31",-12.283333,-37.116667
"32",11.466667,58.266667
"33",-81.633,24.583
"34",-65.879997,-47.75
"35",-75.3167,34.9333
"36",127.608,-5.445
"37",174.766667,-41.34917
"38",93,10
"39",0,0
"40",79,8.5
"41",113.657754,-23.913441
"42",-66.9833,45.099998
"43",-64.75,32.33
"44",-75.32,34.93
