"","Longitude","Latitude"
"1",-5.606,54.541
"2",32.7901,66.7467
"3",32.8814,66.705
"4",33.1,66.6
"5",-57.88,49.522
"6",33.1,66.55
"7",33.1,66.6
"8",33,66.6
"9",33,66.6
"10",33.1,66.6
"11",33.1,66.92
"12",33.103,66.918
"13",-60.9639,45.32345
"14",-60.96478,45.32315
"15",-67.05,45.09
"16",-67.05,45.07
"17",-67.05,45.07
"18",-67.05,45.07
"19",-67.04,45.06
"20",-67.04,45.06
"21",-67.05,45.09
"22",-66.92,44.95
"23",-66.92,44.95
"24",-67.04,45.06
"25",-67.05,45.07
"26",-67.04,45.06
"27",-67.04,45.06
"28",-67.04,45.07
"29",-67.06,45.1
"30",-67.04,45.07
"31",-67.04,45.07
"32",-67.04,45.07
"33",-67.04,45.07
"34",-67.04,45.07
"35",-67.04,45.07
"36",-67.06,45.07
"37",-67.06,45.07
"38",-67.06,45.07
"39",-67.06,45.07
"40",-66.93,44.96
"41",-66.93,44.96
"42",-67.06,45.1
"43",-67.04,45.06
"44",-67.05,45.09
"45",-67.04,45.06
"46",-67.04,45.06
"47",-67.04,45.06
"48",-67.04,45.06
"49",-67.05,45.07
"50",-67.05,45.07
"51",-67.05,45.07
"52",-67.05,45.07
"53",-66.92,44.95
"54",-66.92,44.95
"55",-67.05,45.09
"56",-67.04,45.069
"57",-67.055,45.099
"58",-67.04,45.069
"59",-67.04,45.069
"60",-67.04,45.069
"61",-67.04,45.069
"62",-67.04,45.069
"63",-67.04,45.069
"64",-67.055,45.071
"65",-67.055,45.071
"66",-67.055,45.071
"67",-67.055,45.071
"68",-66.928,44.956
"69",-66.928,44.956
"70",-67.055,45.099
"71",-66.9136,45.003611
"72",-66.91369,45.00357
"73",8.420517,55.011969
"74",8.578375,53.557513
"75",-66.7833,45.133333
"76",-64,45
"77",-69.5971,44.2153
"78",-70.6595,43.0859
"79",-69.3092,43.9095
"80",-69.7545,43.8312
"81",-69.099,44.102
"82",-70.2602,41.8873
"83",-68.1967,44.5204
