"","Longitude","Latitude"
"1",7.90503,63.0789
"2",9.87095,63.88793
"3",5.37815,60.140249
"4",5.301621,60.387049
"5",6.552971,58.24472
"6",5.092,60.1306
"7",5.2384,60.2558
"8",3.081,42.951
"9",3.105,43.026
"10",5.1897,61.0747
"11",8.3176,58.182
"12",10.48192,59.382568
"13",10.465696,59.361598
"14",5.297371,59.858479
"15",4.4,52.25
"16",5.325884,60.380866
"17",2.82798,51.50412
"18",2.80842,51.51662
"19",2.80518,51.50588
"20",10.7391,64.53027
"21",5.2401,59.4349
"22",9.348,63.6657
"23",5.2433,59.4146
"24",9.3462,63.6599
"25",4.4,52.25
"26",5.29668,60.420229
"27",5.270221,60.394858
"28",-8.837222,41.883056
"29",-8.837222,41.883056
"30",-8.837222,41.883056
"31",5.111631,59.426419
"32",5.116671,59.429329
"33",6.643,60.447
"34",4.698621,60.793919
"35",10.579,59.188
"36",10.5783,59.191
"37",10.4098,59.0566
"38",8.7554,58.4258
"39",10.57,59.2
"40",12.9117,66.5733
"41",2.771,51.497
"42",1.1205,49.94914
"43",1.25042,50.22057
"44",12.0687,66.49897
"45",6.955217,62.852017
"46",5.46189,60.174219
"47",3.05336,43.02023
"48",3.1605,43.1059
"49",3.05548,42.95226
"50",3.14458,43.11001
"51",8.0611,58.1101
"52",8.0611,58.1101
"53",8.0611,58.1101
"54",3.045,51.47
"55",2.606,51.156
"56",3.261,51.372
"57",5.0422,60.2032
"58",4.35,52.15
"59",5.270221,60.394858
"60",3.08884,43.05943
"61",3.0808,43.01086
"62",3.08504,43.01812
"63",5.29668,60.420229
"64",-1.32625,44.29894
"65",2.765,51.488
"66",2.605,51.156
"67",2.806,51.506
"68",2.77,51.496
"69",2.878,51.538
"70",2.701,51.186
"71",2.772,51.497
"72",2.869,51.525
"73",3.008,51.455
"74",5.29668,60.420229
"75",4.963874,60.387881
"76",2.765,51.488
"77",-5.795667,54.83915
"78",6.872117,62.8729
"79",-1.91389,49.70694
"80",2.70143,51.18487
"81",2.70178,51.1851
"82",2.70127,51.18512
"83",2.7011,51.185
"84",2.70103,51.18503
"85",2.70127,51.18512
"86",2.7011,51.185
"87",-9.506624,51.683896
"88",-8.440604,54.998336
"89",-3.8662,48.7083
"90",5.29668,60.420229
