"","Longitude","Latitude"
"1",9.85585,63.86172
"2",8.1708,63.44427
"3",8.62408,63.73502
"4",15.291538,68.02363
"5",8.682368,63.8674
"6",12.08223,67.49025
"7",5.37815,60.140249
"8",25.389479,71.013769
"9",5.121221,60.443999
"10",17.32905,68.48347
"11",13.0968,66.81582
"12",11.36607,64.68875
"13",24.086171,70.57697
"14",-1.61397,49.06022
"15",0.28093,50.02324
"16",0.15167,49.84053
"17",0.28093,50.02324
"18",0.28572,49.93347
"19",0.28572,49.93347
"20",0.28572,49.93347
"21",0.2905,49.84369
"22",0.2905,49.84369
"23",0.28572,49.93347
"24",0.28572,49.93347
"25",0.14665,49.9303
"26",0.15167,49.84053
"27",0.14665,49.9303
"28",0.15167,49.84053
"29",0.14665,49.9303
"30",0.28093,50.02324
"31",0.28572,49.93347
"32",0.28572,49.93347
"33",5.2121,60.2602
"34",2.894478,62.415352
"35",12.393,66.39872
"36",5.153566,60.444795
"37",5.1897,61.0747
"38",8.3176,58.182
"39",10.478201,59.383401
"40",5.297371,59.858479
"41",5.026701,60.546279
"42",8.132,58.0965
"43",5.2433,59.4146
"44",9.3462,63.6599
"45",9.348,63.6657
"46",5.2401,59.4349
"47",3.8,51.5
"48",-5.053993,50.140655
"49",4.980281,60.246379
"50",-5.053993,50.140655
"51",4.751255,60.685168
"52",-5.537083,50.092449
"53",-5.537083,50.092449
"54",5.80862,59.11925
"55",5.48858,59.202919
"56",-5.530195,50.114773
"57",-5.529256,50.121027
"58",-5.529528,50.119966
"59",1.39035,50.22248
"60",-5.529256,50.121027
"61",-5.529528,50.119966
"62",-5.530195,50.114773
"63",5.2948,60.4236
"64",-5.53462,50.084634
"65",-5.537843,50.094792
"66",-5.529843,50.114738
"67",5.111631,59.426419
"68",5.121651,59.428949
"69",9.061283,63.985833
"70",-5.529843,50.114738
"71",-5.53462,50.084634
"72",-5.537843,50.094792
"73",4.7947,60.932
"74",4.7849,60.9325
"75",-0.918819,50.77943
"76",4.696871,60.787399
"77",7.65887,63.11607
"78",10.4098,59.0566
"79",10.57,59.2
"80",10.6093,59.6586
"81",10.5783,59.191
"82",10.6298,59.6588
"83",12.9117,66.5733
"84",10.601,59.176
"85",8.7554,58.4258
"86",5.090084,61.912583
"87",-2.52323,48.84751
"88",-2.52323,48.84751
"89",9.489,63.5766
"90",3.437035,56.224873
"91",0.28093,50.02324
"92",0.28572,49.93347
"93",0.28572,49.93347
"94",0.14665,49.9303
"95",3.9,51.75
"96",0.28572,49.93347
"97",0.14665,49.9303
"98",0.29525,49.7539
"99",0.28572,49.93347
"100",0.28093,50.02324
"101",0.15167,49.84053
"102",0.15167,49.84053
"103",0.28572,49.93347
"104",0.28572,49.93347
"105",-4.13953,48.67141
"106",-4.70664,48.81672
"107",12.16283,57.205
"108",13.679,68.31
"109",31.250556,45.666667
"110",8.0611,58.1101
"111",8.0611,58.1101
"112",8.0611,58.1101
"113",31.250556,45.666667
"114",-2.213333,56.894999
