"","Longitude","Latitude"
"1",4.9945,60.2186
"2",0.15167,49.84053
"3",0.14665,49.9303
"4",5.0981,60.1313
"5",5.1897,61.0747
"6",8.3176,58.182
"7",8.132,58.0965
"8",-5.053993,50.140655
"9",-5.53784,50.094747
"10",-5.053993,50.140655
"11",-5.53784,50.094747
"12",-5.537083,50.092449
"13",-5.537704,50.094796
"14",-5.537704,50.094796
"15",-5.537083,50.092449
"16",-5.538157,50.095637
"17",-5.537808,50.095261
"18",-5.537808,50.095261
"19",-5.538157,50.095637
"20",-8.837222,41.883056
"21",5.019,60.4087
"22",-5.537843,50.094792
"23",-5.53462,50.084634
"24",-5.53462,50.084634
"25",-5.537843,50.094792
"26",4.7786,60.9327
"27",5.0994,60.7228
"28",4.7849,60.9325
"29",-0.918819,50.77943
"30",18.0022,69.637
"31",15.9899,69.2982
"32",10.4098,59.0566
"33",10.6093,59.6586
"34",14.198,68.1474
"35",12.9117,66.5733
"36",0.28093,50.02324
"37",4.9411,60.4596
"38",-4.57108,48.82541
"39",-4.28728,48.75277
"40",-4.57108,48.82541
"41",-4.42269,48.7444
"42",-4.15182,48.76098
"43",-4.57108,48.82541
"44",-4.15182,48.76098
"45",-4.13953,48.67141
"46",-4.57108,48.82541
"47",-4.28728,48.75277
"48",-4.57108,48.82541
"49",-4.15182,48.76098
"50",-4.28728,48.75277
"51",-4.15182,48.76098
"52",-4.28728,48.75277
"53",-4.57108,48.82541
"54",-4.15182,48.76098
"55",-4.42269,48.7444
"56",-4.57108,48.82541
"57",-4.15182,48.76098
"58",-4.13953,48.67141
"59",-4.57108,48.82541
"60",-4.15182,48.76098
"61",11.9887,65.2109
"62",14.1976,68.1471
"63",8.0611,58.1101
"64",8.0611,58.1101
"65",8.0611,58.1101
"66",-2.205994,56.951498
"67",-2.205994,56.951498
"68",5.0012,60.2168
"69",-5.703884,50.078695
"70",4.940181,60.331199
"71",-5.703884,50.078695
"72",17.718073,75.888537
"73",-4.911828,55.745834
"74",-4.911828,55.745834
"75",-1.82815,48.88118
"76",26.672147,76.029685
"77",27.247167,75.6485
"78",-4.058472,52.479208
"79",-4.058472,52.479208
"80",-9.514818,52.616702
"81",-9.580272,53.323983
"82",22.27669,71.286581
"83",-1.83883,48.87603
"84",33.531398,73.34687
"85",-3.262315,58.964115
"86",-3.262315,58.964115
"87",-3.312267,58.916348
"88",-3.312267,58.916348
"89",-3.312267,58.916348
"90",-3.312267,58.916348
"91",-3.05742,50.719675
"92",-2.11,48.6425
"93",-2.11,48.6425
"94",-3.185061,58.917154
"95",-3.185061,58.917154
"96",-2.971292,58.956486
"97",-2.971292,58.956486
"98",-2.959667,58.984845
"99",-2.959667,58.984845
"100",-9.132283,38.43
"101",-2.758033,59.232717
"102",-2.758033,59.232717
"103",-2.977733,59.322
"104",-2.977733,59.322
"105",-3.312231,58.916312
"106",-3.312231,58.916312
"107",-4.316878,51.561684
"108",-4.316878,51.561684
"109",33.701167,72.0995
"110",-3.312231,58.916312
"111",-3.312231,58.916312
"112",-3.58645,48.76862
"113",7.88,54.18
"114",7.88,54.18
"115",7.88,54.18
"116",7.88,54.18
"117",7.88,54.18
"118",7.88,54.18
"119",-1.25833,49.58472
"120",-1.25833,49.58472
"121",-1.2397,49.6452
"122",-1.23889,49.64806
"123",7.88,54.18
"124",7.88,54.18
"125",7.88,54.18
"126",7.88,54.18
"127",7.88,54.18
"128",7.88,54.18
"129",8.223327,67.021287
"130",-4.651304,51.196192
"131",-1.307498,50.817334
"132",-1.307498,50.817334
"133",25.2195,71.337667
"134",-2.075,55.842222
"135",-2.94752,47.37508
"136",-8.851,41.694
"137",-8.851,41.694
"138",-8.85,41.69
"139",-8.85,41.69
"140",-4.386944,48.217778
"141",-4.386944,48.217778
"142",-4.556389,48.239444
"143",-4.556389,48.239444
"144",-4.618334,48.258056
"145",-4.618334,48.258056
"146",-3.41999,47.64054
"147",-5.579527,57.79447
"148",1.594722,50.824444
"149",-8.85118,41.6938
"150",-8.85118,41.6938
"151",-8.85118,41.6938
"152",-8.85,41.69
"153",-8.85,41.69
"154",-8.85,41.69
"155",-4.050067,48.700078
"156",-4.050067,48.700078
"157",-4.066389,48.702778
"158",-4.066389,48.702778
"159",-4.050067,48.700078
"160",-4.050067,48.700078
"161",0.526053,53.143175
"162",7.95,54.183333
"163",-4.596664,53.285974
"164",-4.596664,53.285974
"165",-4.218045,57.55044
"166",-6.282735,54.11106
"167",-4.85392,48.38768
"168",-4.85392,48.38768
"169",-4.85427,48.3868
"170",-4.85465,48.38678
"171",-1.26603,49.58662
"172",11.81083,57.20528
"173",11.74,57.17167
"174",11.74,57.17167
"175",11.9445,56.94916
"176",-1.2411,49.58785
"177",-4.032709,57.827344
"178",-4.081664,57.83168
"179",10.8497,58.69993
"180",10.8715,58.71108
"181",10.8715,58.71108
"182",-3.100002,59.744997
"183",-5.811672,56.796946
"184",-3.100002,59.744997
"185",-5.369133,56.010017
"186",-4.885756,51.715894
"187",4.725,60.666
"188",4.725,60.666
"189",5.0005,60.1764
"190",4.9207,60.4328
"191",-6.306091,49.94031
"192",-4.81035,51.643975
"193",-5.03988,51.617566
"194",-5.127174,51.961546
"195",-5.15687,51.949061
"196",-5.181693,51.950191
"197",-5.209914,51.937732
"198",-5.189731,51.755698
"199",-9.654881,53.811884
