"","Longitude","Latitude"
"1",-6.586506,52.17398
"2",-5.750362,54.824739
"3",-9.122102,53.135979
"4",-9.122102,53.135979
"5",-9.123832,53.133775
"6",-6.156716,53.296833
"7",4.95,53.25
"8",4.6,52.65
"9",4.6,52.65
"10",4.2,52.05
"11",-7.71987,51.955751
"12",-6.145058,53.98107
"13",-6.973701,52.18158
"14",1.246977,52.94286
"15",4.65,52.75
"16",1.199049,52.94639
"17",5.75,53.45
"18",5.25,53.4
"19",1.135057,52.9513
"20",1.277369,52.93994
"21",1.348876,52.92171
"22",3.7,51.55
"23",1.577359,50.506814
"24",1.084916,52.96047
"25",1.222732,52.94698
"26",1.101384,52.95718
"27",1.351718,52.91844
"28",1.166794,52.94971
"29",1.144488,52.95012
"30",1.315124,52.93253
"31",3.2554,51.447917
"32",6.1,53.45
"33",2.58625,51.147083
"34",2.58625,51.147083
"35",1.277675,52.94035
"36",3.167317,51.496233
"37",1.207565,52.94798
"38",3.4,51.35
"39",2.863732,51.3154
"40",2.863732,51.3154
"41",2.863732,51.3154
"42",2.863732,51.3154
"43",2.863732,51.3154
"44",2.863732,51.3154
"45",2.863732,51.3154
"46",2.863732,51.3154
"47",2.863728,51.315415
"48",2.863728,51.315415
"49",2.863728,51.315415
"50",2.863728,51.315415
"51",2.863728,51.315415
"52",2.863728,51.315415
"53",2.863728,51.315415
"54",2.863728,51.315415
"55",2.86373,51.315415
"56",2.86373,51.315415
"57",2.86373,51.315415
"58",2.86373,51.315415
"59",2.742508,51.422978
"60",2.742508,51.422978
"61",2.742508,51.422978
"62",2.742508,51.422978
"63",2.74251,51.422978
"64",2.74251,51.422978
"65",2.74251,51.42298
"66",2.789248,51.437157
"67",2.78925,51.437158
"68",2.789248,51.437157
"69",2.789248,51.437157
"70",2.913028,51.54357
"71",2.913017,51.543573
"72",2.913018,51.543572
"73",2.913018,51.543572
"74",2.94299,51.53631
"75",2.94299,51.53631
"76",2.991793,51.567582
"77",2.991793,51.567582
"78",2.991793,51.567582
"79",2.991795,51.567578
"80",2.991795,51.567578
"81",2.991795,51.567578
"82",2.770867,51.569593
"83",2.743778,51.56213
"84",2.743777,51.562132
"85",2.73879,51.587257
"86",2.738788,51.587252
"87",2.831843,51.448702
"88",2.831843,51.448702
"89",2.831842,51.4487
"90",2.831842,51.4487
"91",2.871537,51.502357
"92",2.852428,51.52077
"93",2.852427,51.52077
"94",2.852428,51.52077
"95",2.85438,51.530738
"96",2.854375,51.530735
"97",2.854375,51.530735
"98",4.7,52.95
"99",4.75,53
"100",1.103211,52.95711
"101",1.35486,52.91903
"102",1.135129,52.95127
"103",5.14257,59.74448
"104",7.882883,63.060455
"105",1.20778,52.94847
"106",1.3522,52.92053
"107",1.054274,52.96685
"108",0.490893,52.94657
"109",1.147587,52.94994
"110",4.6,52.65
"111",1.102663,52.95746
"112",1.102995,52.95794
"113",1.219233,52.94569
"114",1.212567,52.95016
"115",1.13667,52.95084
"116",1.206997,52.94775
"117",1.278021,52.93862
"118",1.102288,52.95721
"119",1.219441,52.94628
"120",1.352113,52.91911
"121",1.218431,52.94591
"122",1.138093,52.95075
"123",1.276523,52.93948
"124",1.143806,52.95129
"125",1.087196,52.96029
"126",1.054133,52.96655
"127",1.144243,52.94993
"128",1.086551,52.96022
"129",1.215718,52.94687
"130",1.215833,52.94712
"131",1.100269,52.95815
"132",1.298336,52.9352
"133",1.277614,52.93915
"134",1.204077,52.94752
"135",1.209009,52.94857
"136",1.100051,52.95894
"137",1.137766,52.95076
"138",1.275332,52.93988
"139",1.217671,52.9467
"140",1.054539,52.96545
"141",1.145234,52.95076
"142",1.206643,52.94628
"143",1.224652,52.94697
"144",-3.510491,50.48034
"145",1.145887,52.95073
"146",1.055362,52.9677
"147",1.218142,52.94694
"148",1.352293,52.91893
"149",1.276541,52.93913
"150",1.351621,52.91891
"151",1.14449,52.94902
"152",1.191369,52.94876
"153",1.145098,52.95033
"154",1.101721,52.9571
"155",1.215423,52.94761
"156",1.069067,52.96434
"157",1.216213,52.94743
"158",1.085784,52.96168
"159",1.218227,52.94627
"160",1.316023,52.93192
"161",1.143768,52.95026
"162",1.344805,52.92267
"163",1.084266,52.96034
"164",1.213134,52.94747
"165",1.352711,52.91915
"166",1.352689,52.91944
"167",-5.411922,57.23014
"168",-5.101842,56.20069
"169",-5.101842,56.20069
"170",1.580614,52.09423
"171",-5.59939,56.03285
"172",1.278297,52.9403
"173",1.053082,52.96727
"174",1.208099,52.94735
"175",1.052981,52.96744
"176",1.142652,52.95108
"177",3.7,51.65
"178",1.144663,52.94997
"179",1.098825,52.95805
"180",1.167391,52.9482
"181",1.217523,52.94653
"182",1.055365,52.96733
"183",1.35454,52.91903
"184",1.352949,52.91857
"185",1.142633,52.94939
"186",1.101306,52.95713
"187",1.055321,52.96566
