"","Longitude","Latitude"
"1",5.376251,59.768766
"2",12.67702,56.66765
"3",12.825,56.56167
"4",12.6944,66.58212
"5",2.705,51.653
"6",2.699,51.653
"7",2.589,51.659
"8",3.212659,56.42435
"9",3.351579,56.251254
"10",3.080529,56.905899
"11",3.212701,56.431897
"12",2.954316,56.980525
"13",2.589,51.66
"14",-5.501682,54.759986
"15",-5.501683,54.759983
"16",2.764,51.588
"17",2.777,51.616
"18",2.887,51.525
"19",2.777,51.616
"20",2.608,51.679
"21",2.693,51.654
"22",-7.224144,55.06666
"23",-1.84114,48.87552
"24",-7.224129,55.06666
"25",-1.84114,48.87552
"26",-6.192327,54.07155
"27",-6.192327,54.07155
"28",-1.58389,49.87
"29",-1.58389,49.87
"30",-1.63083,49.86917
"31",-1.63083,49.86917
"32",-1.70528,49.72472
"33",-5.783835,54.14719
"34",-1.72111,49.70361
"35",-1.58389,49.87
"36",-1.53222,49.87056
"37",-1.53222,49.87056
"38",-5.783835,54.14719
"39",-1.53222,49.87056
"40",-5.783835,54.14719
"41",-4.858558,55.75056
"42",-4.859817,55.75077
"43",-6.056392,57.14513
"44",-6.10659,57.12992
"45",-5.93968,57.1668
"46",-6.012479,57.11059
"47",-6.18221,57.14843
"48",8.478751,63.77073
"49",8.47473,63.76641
"50",2.88692,51.52433
"51",23.4876,70.2881
"52",-3.258739,53.727827
"53",-3.360428,53.77885
"54",-3.325111,53.765763
"55",-3.203495,53.704125
"56",-3.234825,53.687627
"57",-3.286591,53.746407
"58",-3.314916,53.779358
"59",-1.50505,49.67877
"60",-1.50777,49.67875
"61",-1.60623,49.67078
"62",-1.83883,48.87603
"63",-1.60712,49.66888
"64",-1.50505,49.67877
"65",-1.60623,49.67078
"66",-1.50213,49.67888
"67",-1.78003,48.90935
"68",-7.152568,57.62778
"69",-7.434508,57.06361
"70",-7.13251,57.61631
"71",-7.138773,57.62513
"72",-1.125088,50.726588
"73",-1.202849,50.736138
"74",-1.391399,50.73008
"75",-1.125088,50.726588
"76",-1.173126,50.734132
"77",-1.125088,50.726588
"78",-1.414124,50.7257
"79",-1.414124,50.7257
"80",-1.202849,50.736138
"81",-1.414124,50.7257
"82",-1.173126,50.734132
"83",-1.391399,50.73008
"84",-3.583872,54.470021
"85",-3.588499,54.46996
"86",7.75966,63.10007
"87",8.68612,63.414425
"88",8.691174,63.415576
"89",2.778,51.616
"90",-3.758012,50.208456
"91",-3.604421,50.392357
"92",2.65,51.564
"93",-3.604421,50.392357
"94",-1.83883,48.87603
"95",-1.50445,49.6775
"96",-1.83883,48.87603
"97",-1.77973,48.9095
"98",-1.83883,48.87603
"99",-1.83883,48.87603
"100",-1.83883,48.87603
"101",-1.77973,48.9095
"102",-1.83883,48.87603
"103",-1.50445,49.6775
"104",-1.60595,49.66952
"105",-1.77973,48.9095
"106",-1.83883,48.87603
"107",-1.83883,48.87603
"108",1.506699,52.065992
"109",0.733604,51.423656
"110",0.720942,51.428448
"111",0.793257,51.458225
"112",0.748852,51.461973
"113",0.626466,51.411717
"114",1.329204,51.026845
"115",0.751512,51.458313
"116",1.253943,51.031666
"117",0.790546,51.460987
"118",0.755662,51.455517
"119",0.591688,51.407095
"120",0.610666,51.41207
"121",0.755662,51.455517
"122",0.787506,51.458361
"123",0.724082,51.432872
"124",0.652371,51.412033
"125",0.775624,51.452348
"126",0.695195,51.406558
"127",0.775733,51.454144
"128",0.7539,51.450162
"129",0.774023,51.449688
"130",1.264891,51.025063
"131",0.750971,51.449332
"132",1.30494,51.026635
"133",0.753274,51.463668
"134",1.285646,51.036175
"135",0.699496,51.430743
"136",0.762524,51.449959
"137",0.721369,51.435633
"138",0.754062,51.452857
"139",0.588562,51.402668
"140",0.784303,51.453041
"141",-3.43147,54.833224
"142",-5.871533,56.76118
"143",-5.87029,56.76072
"144",-3.497087,54.75514
"145",-3.510531,54.740593
"146",2.777,51.616
"147",-3.489057,54.748049
"148",-3.504586,54.747857
"149",-3.505153,54.763129
"150",-4.049469,51.213684
"151",2.666981,56.932873
"152",2.498511,56.999343
"153",3.355091,56.324306
"154",3.352284,56.321538
"155",2.672826,56.929708
"156",2.672826,56.929708
"157",2.667009,56.929692
"158",2.658345,56.924908
"159",2.666981,56.932873
"160",2.658229,56.93761
"161",2.667009,56.929692
"162",2.681574,56.924969
"163",2.664058,56.934455
"164",2.672798,56.932888
"165",2.664116,56.928095
"166",3.347302,56.323098
"167",2.666981,56.932873
"168",3.432069,56.226436
"169",2.681466,56.937672
"170",2.667009,56.929692
"171",3.347302,56.323098
"172",2.664058,56.934455
"173",3.077642,56.907491
"174",3.352284,56.321538
"175",3.347302,56.323098
"176",2.664116,56.928095
"177",2.672826,56.929708
"178",2.672826,56.929708
"179",2.681574,56.924969
"180",2.672798,56.932888
"181",2.681466,56.937672
"182",2.664116,56.928095
"183",2.681574,56.924969
"184",-3.8662,48.7083
"185",1.175221,51.960274
"186",-6.282945,49.946568
"187",-6.332594,49.924924
"188",-6.277741,49.935062
"189",-5.092079,50.096027
"190",-6.297993,49.943311
"191",-6.283024,49.947465
"192",-6.284414,49.947413
"193",-6.285645,49.945568
"194",-1.50373,49.67902
"195",-6.330883,49.921389
"196",-6.27913,49.935011
"197",-5.097663,50.095878
"198",-6.284414,49.947413
"199",-6.282945,49.946568
"200",-6.328507,49.925977
"201",-6.277581,49.933269
"202",-6.331044,49.923182
"203",-6.303363,49.956608
"204",-5.016719,50.142991
"205",-6.275041,49.936062
"206",-6.284574,49.949207
"207",-6.287114,49.946413
"208",-5.016832,50.144787
"209",-5.022423,50.144641
"210",-6.277581,49.933269
"211",-5.76064,54.71743
"212",-1.027084,50.806747
"213",-3.434099,50.622119
"214",-1.029792,50.813064
"215",-3.443019,50.636398
"216",-1.352452,50.780229
"217",-1.027028,50.809444
"218",-1.032575,50.815785
"219",-3.437173,50.630175
"220",-1.427282,50.808498
"221",-1.40898,50.796716
"222",-1.352452,50.780229
"223",-0.909647,50.79132
"224",-1.285005,50.738469
"225",-1.028429,50.810355
"226",-0.939292,50.797888
"227",-0.937976,50.79338
"228",-5.918448,58.02224
"229",-6.097958,57.92862
"230",2.775,51.616
"231",2.866,51.52
"232",-3.406802,54.346382
"233",2.698,51.654
"234",-3.406802,54.346382
"235",-3.406802,54.346382
"236",2.705,51.653
"237",-3.405264,54.3464
"238",-3.405264,54.3464
"239",-3.406802,54.346382
"240",-3.406802,54.346382
"241",-3.405264,54.3464
"242",-3.405264,54.3464
"243",2.697309,60.68848
"244",2.619105,60.568705
"245",-3.8662,48.7083
"246",-3.8662,48.7083
"247",-3.8662,48.7083
"248",-3.8662,48.7083
"249",-1.051897,50.702634
"250",1.259827,51.0342
"251",-3.8662,48.7083
"252",-3.8662,48.7083
"253",-3.8662,48.7083
"254",-3.8662,48.7083
"255",-3.8662,48.7083
"256",-3.8662,48.7083
"257",1.06013,49.935
"258",1.06083,49.93517
"259",1.06097,49.93515
"260",1.05982,49.935
"261",1.069376,51.731937
"262",0.775865,51.716758
"263",0.892732,51.619502
"264",0.989148,51.767284
"265",0.775865,51.716758
"266",1.041843,51.731754
"267",1.069376,51.731937
"268",0.892674,51.618604
"269",0.991681,51.652097
"270",1.036902,51.76606
"271",1.069376,51.731937
"272",0.920144,51.753731
"273",0.877329,51.741297
"274",0.918755,51.619757
"275",0.898269,51.751574
"276",0.775865,51.716758
"277",0.892732,51.619502
"278",-4.696472,51.185266
"279",-4.652357,51.164689
"280",-4.653785,51.164657
"281",-4.652357,51.164689
"282",-4.652357,51.164689
"283",-4.664014,51.193205
"284",-4.645019,51.186441
"285",-4.645019,51.186441
"286",-0.805342,60.75463
"287",-0.846017,60.57596
"288",2.868,51.52
"289",-4.559752,52.94245
"290",-4.559519,52.94255
"291",-4.561755,52.9431
"292",-4.559752,52.94245
"293",-4.557498,52.9421
"294",-4.559519,52.94255
"295",-4.561755,52.9431
"296",-4.558427,52.94423
"297",-4.559752,52.94245
"298",2.619,51.502
"299",-4.558427,52.94423
"300",-4.557498,52.9421
"301",-4.558427,52.94423
"302",-4.557498,52.9421
"303",-4.560029,52.94363
"304",-4.557129,52.94444
"305",7.505661,65.115126
"306",7.511201,65.111286
"307",2.139759,57.998268
"308",25.97207,72.947195
"309",20.2386,72.587403
"310",-3.86617,48.70833
"311",-4.073527,50.309385
"312",-4.131028,50.338926
"313",-4.17634,50.3156
"314",-4.070837,50.312132
"315",-4.069316,50.30946
"316",-45.403889,-23.811333
"317",0.295361,52.967126
"318",3.331869,56.916016
"319",3.428192,56.225829
"320",1.406926,60.012557
"321",3.059694,56.617389
"322",19.97701,72.510577
"323",3.048182,56.623745
"324",1.108326,59.584058
"325",3.272587,56.375042
"326",1.187379,59.557307
"327",3.059694,56.617389
"328",4.232271,56.380487
"329",20.127829,72.454234
"330",1.43472,60.000039
"331",25.219176,71.523532
"332",1.108326,59.584058
"333",3.042416,56.626919
"334",3.059694,56.617389
"335",25.231313,71.514277
"336",3.264461,56.370568
"337",4.234777,56.383346
"338",3.048182,56.623745
"339",3.076998,56.633254
"340",3.428192,56.225829
"341",20.146454,72.46129
"342",3.076947,56.607847
"343",20.137892,72.46379
"344",3.030898,56.633274
"345",20.169979,72.454414
"346",3.042416,56.626919
"347",3.831911,56.249334
"348",3.331869,56.916016
"349",3.049596,56.621463
"350",4.237425,56.379096
"351",3.059694,56.617389
"352",20.137892,72.46379
"353",3.06544,56.614205
"354",3.455102,56.548232
"355",-5.598945,54.73323
"356",-5.795667,54.83915
"357",-5.795667,54.83915
"358",-5.795667,54.83915
"359",-2.859276,59.082525
"360",-7.126228,55.14631
"361",-2.859276,59.082525
"362",-5.543344,54.35048
"363",-7.21064,55.0965
"364",-5.199562,51.804099
"365",-2.859276,59.082525
"366",-6.192327,54.07155
"367",-4.1763,53.332421
"368",-4.114448,53.332051
"369",-4.135291,53.321754
"370",-4.162275,53.34939
"371",-3.967622,53.351195
"372",-3.986759,53.338813
"373",-4.191676,53.354023
"374",-4.137197,53.34906
"375",-4.137197,53.34906
"376",-4.215075,53.360145
"377",-4.215075,53.360145
"378",-4.172102,53.344392
"379",-3.973997,53.326906
"380",-4.114448,53.332051
"381",-3.973997,53.326906
"382",-3.900077,53.359788
"383",-2.935658,59.132289
"384",-2.935658,59.132289
"385",-2.935658,59.132289
"386",-2.935658,59.132289
"387",-4.417159,52.829333
"388",-2.935658,59.132289
"389",-1.107271,60.428386
"390",-5.628289,57.254644
"391",-5.691103,57.268995
"392",-5.13927,60.680992
"393",-5.60409,57.261634
"394",-0.984996,60.621457
"395",20.831333,70.7705
"396",-1.026147,60.347005
"397",2.607,51.673
"398",2.705,51.654
"399",2.699,51.654
"400",4.100123,56.644201
"401",4.151122,56.677046
"402",4.088712,56.646611
"403",4.086687,56.637419
"404",4.086687,56.637419
"405",4.089596,56.641616
"406",4.089596,56.641616
"407",4.088712,56.646611
"408",4.093969,56.647903
"409",4.100123,56.644201
"410",4.092505,56.645805
"411",4.086687,56.637419
"412",4.083779,56.633222
"413",4.091059,56.643715
"414",4.093969,56.647903
"415",4.080871,56.629024
"416",4.091059,56.643715
"417",4.092505,56.645805
"418",4.096315,56.645007
"419",4.091059,56.643715
"420",4.080871,56.629024
"421",4.151122,56.677046
"422",4.093969,56.647903
"423",4.096315,56.645007
"424",4.092505,56.645805
"425",4.089596,56.641616
"426",4.092505,56.645805
"427",4.089596,56.641616
"428",4.086687,56.637419
"429",4.092505,56.645805
"430",4.080871,56.629024
"431",4.080871,56.629024
"432",4.086687,56.637419
"433",4.083779,56.633222
"434",4.091059,56.643715
"435",-5.598945,54.73323
"436",-1.464359,60.473396
"437",-1.464359,60.473396
"438",-1.475315,60.470746
"439",-1.464359,60.473396
"440",-1.464359,60.473396
