"","Longitude","Latitude"
"1",-2.031413,48.625589
"2",-1.38355,46.05232
"3",-5.731993,43.524527
"4",4.935159,43.430447
"5",4.935159,43.430447
"6",4.935159,43.430447
"7",-1.23743,44.65511
"8",12.324068,37.929989
"9",6.021487,43.093415
"10",4.937775,43.430079
"11",3.70003,43.424697
"12",23.658675,39.112242
"13",3.70003,43.424697
"14",11.23783,58.65348
"15",5.9224,43.083948
"16",-1.98044,48.57123
"17",-1.97728,48.57005
"18",11.43233,58.26728
"19",4.920358,43.420659
"20",4.939352,43.428328
"21",4.93935,43.42836
"22",9.328141,42.719415
"23",-2.0182,48.62791
"24",-2.02087,48.63748
"25",-2.02041,48.63133
"26",-2.01881,48.62887
"27",5.079131,43.328499
"28",5.012405,43.363995
"29",14.672872,45.145301
"30",5.012351,43.36401
"31",-8.7975,40.461111
"32",-17.97667,27.63917
"33",-5.631065,54.452213
"34",5.07916,43.32749
"35",-2.997791,50.68843
"36",-3.046516,50.63778
"37",-3.046516,50.63778
"38",-2.49132,47.29832
"39",-5.650911,56.50788
"40",-5.8245,56.51838
"41",-4.860174,56.08282
"42",-4.860174,56.08282
"43",-4.901022,56.1505
"44",-2.390268,50.55903
"45",-2.139207,50.50847
"46",17.998601,42.67825
"47",3.7,43.42472
"48",-6.037083,56.62281
"49",3.7,43.42472
"50",1.298336,52.9352
"51",-5.578592,54.394603
"52",-5.882175,54.681491
"53",5.37009,43.17693
"54",-5.144805,56.679
"55",-1.994395,55.776178
"56",-2.48422,57.67344
"57",-5.264558,56.06868
"58",-3.775488,57.77625
"59",-5.658215,56.67723
"60",-5.126945,56.16413
"61",-2.48422,57.67344
"62",-5.132531,58.47289
"63",-5.03832,58.45024
"64",-5.123081,58.47447
"65",-5.101133,58.41935
"66",-5.1256,58.41824
"67",-5.01691,54.94796
"68",-0.40479,50.78629
"69",-6.531906,57.36275
"70",5.7095,59.9643
"71",-1.574484,55.41983
"72",-5.539993,56.24303
"73",-4.939188,55.71924
"74",-4.933839,55.98338
"75",-4.943308,55.71409
"76",-5.101842,56.20069
"77",-5.533205,50.114599
"78",-5.528809,50.120446
"79",-5.529528,50.119966
"80",-5.529528,50.119966
"81",-5.59939,56.03285
"82",-5.599568,56.0327
"83",-5.565782,57.35786
"84",-5.547187,50.103323
