"","Longitude","Latitude"
"1",-4.45412,48.32236
"2",-4.64344,48.30466
"3",-6.267,55.2906
"4",-4.45354,48.29384
"5",-4.5265,48.36427
"6",11.07559,58.88602
"7",11.0796,58.87181
"8",-5.574907,54.391363
"9",11.55856,58.32163
"10",11.43233,58.26728
"11",-9.66961,53.315952
"12",-9.66961,53.315952
"13",-9.66961,53.315952
"14",5.130231,61.206729
"15",-4.52206,48.36349
"16",-4.39306,48.32548
"17",-4.39306,48.32548
"18",-4.45359,48.29332
"19",-4.55105,48.35916
"20",-4.46879,48.31916
"21",-4.44895,48.32045
"22",11.2102,58.35817
"23",-4.55105,48.35916
"24",-4.39306,48.32556
"25",-4.45412,48.32236
"26",-4.55105,48.35916
"27",-4.39306,48.32556
"28",-4.55105,48.35916
"29",-4.48058,48.32938
"30",-4.69681,48.33678
"31",-4.64344,48.30466
"32",5.134389,60.370056
"33",5.134389,60.370056
"34",5.223778,60.269558
"35",-4.52206,48.36349
"36",-4.52206,48.36349
"37",-4.55105,48.35916
"38",-4.36086,48.28335
"39",4.914171,60.423669
"40",5.473209,59.7482
"41",11.39897,58.31608
"42",10.58422,59.673757
"43",-4.45164,48.29654
"44",-4.45359,48.29332
"45",5.71851,59.05966
"46",5.878673,58.968962
"47",6.50283,58.22833
"48",-5.74032,54.92875
"49",-4.52206,48.36349
"50",-4.45493,48.29294
"51",-4.36086,48.28335
"52",-4.55105,48.35916
"53",-4.46879,48.31916
"54",-4.46386,48.32353
"55",5.33425,62.139369
"56",-4.52206,48.36349
"57",-4.52521,48.36454
"58",4.870046,60.801402
"59",-5.29749,56.54859
"60",-4.52521,48.36454
"61",-4.52521,48.36454
"62",11.4069,58.2164
"63",-2.16879,48.69971
"64",-5.274601,56.5446
"65",-9.859242,53.621442
"66",-5.297618,56.54894
"67",-5.067415,56.70239
"68",-9.859576,53.62061
"69",11.59035,57.93206
"70",11.75786,57.54986
"71",-3.046516,50.63778
"72",-2.997791,50.68843
"73",-5.574134,54.39137
"74",-5.658734,56.3141
"75",-3.046516,50.63778
"76",-3.016777,50.67205
"77",-5.242938,51.72252
"78",-5.658734,56.3141
"79",-5.220183,51.71642
"80",-3.01875,50.69453
"81",-2.30862,50.58984
"82",-5.979397,56.66787
"83",-5.650911,56.50788
"84",-5.598649,56.45321
"85",-4.860174,56.08282
"86",-2.456394,50.53776
"87",-5.650911,56.50788
"88",-4.857633,56.0865
"89",-2.412075,50.57447
"90",-5.491573,56.60723
"91",-5.491573,56.60723
"92",-4.860174,56.08282
"93",-2.456394,50.53776
"94",-6.647845,57.49843
"95",-4.857633,56.0865
"96",-4.889776,56.12642
"97",-6.704074,57.95319
"98",-5.271281,51.73874
"99",-4.889776,56.12642
"100",-4.901022,56.1505
"101",-4.888886,56.12723
"102",-2.302866,50.59361
"103",-2.291254,50.61811
"104",-2.465801,50.55423
"105",-5.650911,56.50788
"106",-4.45412,48.32236
"107",-5.234823,51.73747
"108",-5.653083,57.54765
"109",-5.628302,57.8446
"110",-2.139207,50.50847
"111",-5.601057,54.2543
"112",-5.555118,57.35794
"113",-3.60124,48.7717
"114",-5.566374,57.35788
"115",-5.124617,58.49254
"116",-1.15371,60.12881
"117",-2.139207,50.50847
"118",-5.544713,54.29023
"119",-5.119791,58.47627
"120",8.956831,63.76158
"121",11.70201,57.52033
"122",11.70201,57.52033
"123",-3.92405,48.7015
"124",-5.273801,56.54598
"125",-5.43018,57.23261
"126",-5.466588,57.23253
"127",-4.39306,48.32548
"128",-5.946712,57.14891
"129",-3.90117,48.69464
"130",-4.000741,50.28831
"131",-5.574134,54.39137
"132",-5.507976,54.69739
"133",-5.065723,56.23097
"134",-5.273801,56.54598
"135",-5.466588,57.23253
"136",-5.507976,54.69739
"137",-3.83466,48.71623
"138",5.878673,58.968962
"139",9.753881,59.02325
