"","Longitude","Latitude"
"1",-9.23694,51.497395
"2",3.205957,41.899812
"3",41.011944,42.995258
"4",18.761054,69.663202
"5",30.765163,46.47264
"6",11.435389,58.268325
"7",5.325577,43.213722
"8",5.325772,43.214221
"9",3.978188,51.926826
"10",11.25514,58.69029
"11",11.21884,58.69894
"12",28.961779,41.02224
"13",28.977689,41.001549
"14",29.012588,41.026109
"15",3.85,51.75
"16",4.5,52.35
"17",3.8,51.75
"18",3.75,51.7
"19",3.65,51.55
"20",3.85,51.75
"21",4.15,51.6
"22",4.6,52.6
"23",136,-34.8
"24",146.2,-16.9
"25",12.393379,55.605569
"26",12.393379,55.605569
"27",3.8,51.7
"28",3.95,51.7
"29",14.19971,55.77776
"30",3.45,51.5
"31",3.75,51.7
"32",3.7,51.55
"33",166.44771,-22.32073
"34",166.445,-22.49861
"35",166.40359,-22.47259
"36",167.28472,-20.91111
"37",166.25389,-22.36944
"38",33.913811,27.164038
"39",-9.515628,53.066595
"40",9.839989,54.474692
"41",-2.325536,46.691151
"42",10.146148,54.325089
"43",10.17841,54.389829
"44",3.65,51.55
"45",3.65,51.55
"46",4.1,51.95
"47",6.15,53.5
"48",3.5,51.45
"49",4.6,52.7
"50",3.65,51.65
"51",6.4,53.5
"52",4.6,52.55
"53",3.5,51.45
"54",4.65,52.8
"55",3.65,51.65
"56",3.75,51.7
"57",3.45,51.5
"58",3.6,51.55
"59",3.75,51.7
"60",3.8,51.7
"61",3.5,51.45
"62",3.8,51.7
"63",3.65,51.55
"64",3.7,51.65
"65",3.65,51.65
"66",3.7,51.65
"67",4.15,52
"68",4.8,53.15
"69",4.8,53.15
"70",3.5,51.45
"71",3.5,51.45
"72",3.5,51.55
"73",3.7,51.65
"74",4.6,52.65
"75",4,51.85
"76",3.45,51.5
"77",3.45,51.5
"78",3.45,51.55
"79",5.75,53.45
"80",3.6,51.55
"81",4.1,52
"82",3.6,51.55
"83",5.6,53.4
"84",3.5,51.45
"85",3.6,51.55
"86",4.5,52.4
"87",5.6,53.45
"88",3.45,51.45
"89",4.8,53.15
"90",3.45,51.45
"91",3.6,51.55
"92",4.05,51.9
"93",4.05,51.9
"94",3.55,51.55
"95",4.15,52
"96",3.65,51.55
"97",4.65,52.75
"98",4.6,52.55
"99",4.35,52.15
"100",5.05,53.3
"101",5.6,53.45
"102",6.15,53.5
"103",3.45,51.45
"104",6.1,53.45
"105",4.55,52.4
"106",4.65,52.8
"107",4.6,52.75
"108",4.05,51.95
"109",6.15,53.5
"110",3.6,51.55
"111",3.4,51.35
"112",5.6,53.45
"113",3.4,51.35
"114",4.6,52.65
"115",3.65,51.45
"116",3.45,51.55
"117",5.7,53.4
"118",3.4,51.5
"119",3.6,51.55
"120",3.6,51.55
"121",3.6,51.55
"122",3.7,51.65
"123",3.7,51.65
"124",3.35,51.35
"125",3.45,51.35
"126",3.5,51.4
"127",3.7,51.65
"128",3.7,51.65
"129",4.65,52.75
"130",3.5,51.45
"131",167.26389,-20.90194
"132",3.69986,43.425
"133",3.7,43.42472
"134",7.016788,53.683998
"135",3.861005,51.755215
"136",3.861005,51.755215
"137",11.04797,58.89281
"138",12.02714,57.38956
"139",8.932129,58.622336
"140",6.098106,59.198437
"141",4.20502,51.33748
"142",-7.341642,55.314431
"143",-9.524092,51.730409
"144",23.50229,37.99867
"145",9.783908,54.907679
"146",-1.169584,45.222538
"147",5.004381,60.815139
"148",3.37018,51.367845
"149",8.256314,56.777668
"150",12.057887,54.177492
"151",3.776395,51.742895
"152",5.205327,60.291957
"153",-6.070721,56.621841
"154",10.3394,56.238495
"155",12.588373,55.68042
"156",8.431918,55.3373
"157",-1.125136,45.652264
"158",2.856906,51.207292
"159",14.215913,42.472355
"160",-3.172784,47.359828
"161",-4.147464,50.362694
"162",5.168666,60.975365
"163",5.022022,61.146429
"164",4.893807,61.254236
"165",-1.552164,48.731906
"166",-4.018445,57.592285
"167",-2.384013,47.280362
