Specieslist,name,value,inrange,pointscalculated,distance
Acartia bifilosa,BelgianCoast,1,117,117,781472.49130368
Acartia bifilosa,Roscoff,6,117,117,26651606.858128
Acartia clausi,Getxo,2,26,26,19196493.453547
Acartia clausi,SwedishWestCoast,9,26,26,16707.5700592006
Acartia hudsonica,Koster,3,130,130,88720.1689183574
Acartia longiremis,Laeso,4,166,166,134545.514090896
Acartia margalefi,Limfjord,5,3,3,26039491.6173959
Acartia tonsa,Plymouth,6,183,183,1290321.87114122
Acrocnida brachiata,Roscoff,7,440,440,22093.9919904834
Aeolidia papillosa,SwedishWestCoast,8,729,729,16707.5700592006
Aetea truncata,TZS,9,162,162,996257.694213507
Alcyonium digitatum,Vigo,10,722,722,199784.382772906
