"x","year","month","country"
Inf,2022,4,"Norway"
Inf,2022,4,"Norway"
Inf,2022,5,"Norway"
Inf,2022,5,"Norway"
1022246.89109399,2021,1,"United Kingdom of Great Britain and Northern Ireland"
822768.878145998,2021,3,"United Kingdom of Great Britain and Northern Ireland"
818492.003068559,2021,3,"United Kingdom of Great Britain and Northern Ireland"
818723.022691616,2021,3,"United Kingdom of Great Britain and Northern Ireland"
822057.352006558,2021,3,"United Kingdom of Great Britain and Northern Ireland"
819838.454255927,2021,3,"United Kingdom of Great Britain and Northern Ireland"
296191.555904142,2021,4,"Norway"
Inf,2021,4,"Norway"
820271.978195608,2021,6,"United Kingdom of Great Britain and Northern Ireland"
819553.990358367,2021,6,"United Kingdom of Great Britain and Northern Ireland"
1382053.03509557,2021,6,"United Kingdom of Great Britain and Northern Ireland"
Inf,2021,6,"Norway"
Inf,2021,6,"Norway"
Inf,2021,6,"Norway"
Inf,2021,8,"United Kingdom of Great Britain and Northern Ireland"
Inf,2021,9,"United Kingdom of Great Britain and Northern Ireland"
311170.585744581,2020,6,"Norway"
Inf,2020,8,"United Kingdom of Great Britain and Northern Ireland"
1297250.68226817,2020,9,"United Kingdom of Great Britain and Northern Ireland"
1575062.98133981,2020,10,"France"
1381703.34690057,2019,5,"United Kingdom of Great Britain and Northern Ireland"
1454093.40145655,2019,5,"United Kingdom of Great Britain and Northern Ireland"
1377868.34088613,2019,5,"United Kingdom of Great Britain and Northern Ireland"
35231.4203551288,2019,7,"Sweden"
Inf,2019,8,"United Kingdom of Great Britain and Northern Ireland"
1495990.92115443,2019,9,"United Kingdom of Great Britain and Northern Ireland"
1495990.92115443,2019,9,"United Kingdom of Great Britain and Northern Ireland"
1493268.88914225,2019,9,"United Kingdom of Great Britain and Northern Ireland"
1261415.63228643,2018,4,"United Kingdom of Great Britain and Northern Ireland"
373038.859310645,2018,4,"Norway"
1024002.54118596,2017,1,"United Kingdom of Great Britain and Northern Ireland"
1031190.94528247,2017,1,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,3,"Ireland"
Inf,2017,5,"Ireland"
Inf,2017,5,"Ireland"
Inf,2017,5,"Ireland"
824994.576339635,2017,5,"United Kingdom of Great Britain and Northern Ireland"
918754.142953456,2017,5,"United Kingdom of Great Britain and Northern Ireland"
808911.925961445,2017,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,5,"Ireland"
Inf,2017,5,"Ireland"
Inf,2017,5,"United Kingdom of Great Britain and Northern Ireland"
824994.576339635,2017,5,"United Kingdom of Great Britain and Northern Ireland"
808911.925961445,2017,5,"United Kingdom of Great Britain and Northern Ireland"
822724.00641579,2017,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,5,"United Kingdom of Great Britain and Northern Ireland"
825218.060006544,2017,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,7,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,9,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,9,"United Kingdom of Great Britain and Northern Ireland"
Inf,2016,2,"France"
Inf,2016,2,"France"
Inf,2016,2,"United Kingdom of Great Britain and Northern Ireland"
Inf,2016,2,"France"
Inf,2016,4,"United Kingdom of Great Britain and Northern Ireland"
1103002.77619044,2016,4,"United Kingdom of Great Britain and Northern Ireland"
825113.305257041,2016,4,"United Kingdom of Great Britain and Northern Ireland"
825358.202341308,2016,5,"United Kingdom of Great Britain and Northern Ireland"
1336189.93206361,2016,5,"Guernsey"
822866.457808399,2016,5,"United Kingdom of Great Britain and Northern Ireland"
1333181.05150693,2016,5,"Guernsey"
