"x","year","month","country"
Inf,2024,3,"Portugal"
2231304.81179061,2023,4,"France"
Inf,2023,4,"France"
Inf,2023,4,"France"
Inf,2023,5,"France"
Inf,2023,5,"Netherlands"
Inf,2023,6,"France"
Inf,2023,6,"France"
2190851.31477601,2023,6,"France"
Inf,2023,7,"France"
Inf,2023,7,"France"
Inf,2023,8,"Portugal"
2199639.48034956,2023,9,"France"
2224987.39757402,2023,10,"France"
Inf,2023,11,"Italy"
Inf,2023,11,"Italy"
Inf,2022,1,"France"
2346532.78276416,2022,1,"France"
2272596.27797964,2022,1,"France"
2346532.78276416,2022,3,"France"
Inf,2022,3,"France"
Inf,2022,3,"France"
Inf,2022,4,"France"
Inf,2022,4,"France"
2115365.09406244,2022,5,"Albania"
2224664.93848397,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
3201621.73756696,2022,6,"Portugal"
Inf,2022,6,"France"
Inf,2022,6,"France"
2199742.68052277,2022,8,"France"
Inf,2022,9,"Italy"
2384969.91100394,2022,9,"Spain"
2383364.75926987,2022,9,"Spain"
Inf,2022,11,"France"
Inf,2022,11,"France"
Inf,2022,11,"France"
Inf,2022,11,"France"
2168605.43622467,2022,12,"France"
Inf,2021,2,"Portugal"
Inf,2021,3,"France"
1781244.1074632,2021,3,"Croatia"
2346532.78276416,2021,4,"France"
2346532.78276416,2021,4,"France"
Inf,2021,5,"France"
Inf,2021,5,"France"
Inf,2021,6,"France"
Inf,2021,6,"France"
Inf,2021,6,"France"
Inf,2021,6,"France"
Inf,2021,6,"France"
Inf,2021,6,"France"
Inf,2021,6,"France"
Inf,2021,6,"France"
2037967.8993217,2021,7,"France"
Inf,2021,8,"Portugal"
Inf,2021,9,"France"
Inf,2021,9,"France"
Inf,2021,9,"France"
Inf,2021,9,"France"
Inf,2021,10,"France"
3368735.11954651,2021,10,"Portugal"
Inf,2021,10,"France"
2257545.90752802,2021,10,"France"
2347915.3021435,2021,10,"France"
Inf,2021,10,"France"
Inf,2021,10,"France"
Inf,2021,11,"France"
2346532.78276416,2021,11,"France"
Inf,2021,12,"Italy"
Inf,2020,3,"France"
Inf,2020,5,"France"
Inf,2020,5,"France"
Inf,2020,6,"France"
Inf,2020,6,"France"
Inf,2020,6,"France"
Inf,2020,6,"France"
Inf,2020,6,"France"
Inf,2020,7,"France"
Inf,2020,7,"France"
Inf,2020,8,"France"
Inf,2020,9,"France"
2384969.91100394,2020,9,"Spain"
2346532.78276416,2020,9,"France"
2383173.85506243,2020,9,"Spain"
Inf,2020,9,"France"
2383356.62866595,2020,9,"Spain"
Inf,2020,10,"France"
Inf,2020,10,"France"
Inf,2020,10,"France"
Inf,2020,11,"France"
Inf,2020,12,"Portugal"
Inf,2020,12,"France"
Inf,2020,12,"France"
Inf,2019,3,"Portugal"
Inf,2019,3,"France"
Inf,2019,3,"France"
Inf,2019,3,"Portugal"
Inf,2019,4,"Portugal"
3368763.07179072,2019,4,"Portugal"
Inf,2019,4,"France"
Inf,2019,5,"France"
Inf,2019,5,"France"
Inf,2019,5,"France"
Inf,2019,5,"France"
Inf,2019,5,"France"
Inf,2019,5,"France"
Inf,2019,5,"France"
Inf,2019,5,"France"
Inf,2019,6,"Portugal"
Inf,2019,6,"France"
Inf,2019,7,"France"
Inf,2019,9,"Portugal"
Inf,2019,9,"France"
Inf,2019,9,"France"
Inf,2019,9,"France"
Inf,2019,9,"France"
Inf,2019,9,"France"
Inf,2019,9,"France"
2403063.37215675,2019,10,"Spain"
Inf,2019,10,"France"
Inf,2019,12,"France"
Inf,2018,3,"France"
Inf,2018,3,"France"
Inf,2018,3,"France"
Inf,2018,3,"France"
Inf,2018,3,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,5,"France"
Inf,2018,5,"France"
Inf,2018,6,"France"
Inf,2018,6,"France"
Inf,2018,7,"France"
Inf,2018,7,"France"
Inf,2018,7,"France"
Inf,2018,7,"France"
2341017.05266451,2018,7,"France"
Inf,2018,8,"France"
Inf,2018,8,"France"
Inf,2018,8,"France"
2272275.27133432,2018,8,"France"
Inf,2018,9,"France"
Inf,2018,9,"France"
Inf,2018,9,"France"
Inf,2018,9,"France"
Inf,2018,9,"France"
Inf,2018,9,"France"
Inf,2018,9,"France"
Inf,2018,9,"France"
Inf,2018,10,"France"
Inf,2018,10,"France"
Inf,2018,10,"France"
Inf,2018,10,"France"
Inf,2018,10,"France"
Inf,2018,11,"Spain"
Inf,2018,11,"France"
Inf,2018,11,"France"
Inf,2018,11,"France"
1862825.61242035,2017,1,"France"
Inf,2017,5,"France"
Inf,2017,5,"France"
Inf,2017,5,"France"
Inf,2017,5,"France"
2274970.87251991,2017,6,"France"
Inf,2017,6,"France"
Inf,2017,7,"France"
Inf,2017,10,"France"
Inf,2017,11,"France"
Inf,2016,6,"Portugal"
Inf,2016,6,"France"
Inf,2016,6,"Portugal"
Inf,2015,5,"France"
Inf,2015,10,"France"
1748817.24849819,2014,8,"United Kingdom of Great Britain and Northern Ireland"
Inf,2014,8,"France"
Inf,2014,8,"United Kingdom of Great Britain and Northern Ireland"
Inf,2014,8,"France"
1831683.13618018,2014,9,"United Kingdom of Great Britain and Northern Ireland"
Inf,2014,9,"United Kingdom of Great Britain and Northern Ireland"
Inf,2014,9,"United Kingdom of Great Britain and Northern Ireland"
Inf,2013,4,"France"
Inf,2013,4,"France"
Inf,2013,4,"France"
Inf,2013,4,"France"
Inf,2012,3,"United Kingdom of Great Britain and Northern Ireland"
Inf,2008,7,"Portugal"
Inf,2008,7,"Portugal"
2113805.18301128,1998,8,"Greece"
Inf,1960,6,"United Kingdom of Great Britain and Northern Ireland"
Inf,NA,NA,"United Kingdom of Great Britain and Northern Ireland"
Inf,NA,NA,"United Kingdom of Great Britain and Northern Ireland"
Inf,NA,NA,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
2012735.79437244,2011,3,"United Kingdom of Great Britain and Northern Ireland"
2012561.03191395,2010,2,"United Kingdom of Great Britain and Northern Ireland"
2012561.03191395,2010,11,"United Kingdom of Great Britain and Northern Ireland"
1348173.72560223,1988,1,"United Kingdom of Great Britain and Northern Ireland"
Inf,1976,6,"United Kingdom of Great Britain and Northern Ireland"
2013440.187411,1974,1,"United Kingdom of Great Britain and Northern Ireland"
1812938.47794793,1958,1,"United Kingdom of Great Britain and Northern Ireland"
Inf,1958,1,"United Kingdom of Great Britain and Northern Ireland"
1822737.20826489,1958,1,"United Kingdom of Great Britain and Northern Ireland"
2011677.24737718,1956,1,"United Kingdom of Great Britain and Northern Ireland"
2013440.187411,1956,1,"United Kingdom of Great Britain and Northern Ireland"
2011677.24737718,1955,1,"United Kingdom of Great Britain and Northern Ireland"
2014148.48979259,1948,1,"United Kingdom of Great Britain and Northern Ireland"
Inf,1947,1,"United Kingdom of Great Britain and Northern Ireland"
Inf,1937,1,"United Kingdom of Great Britain and Northern Ireland"
Inf,NA,NA,"Spain"
