"x","year","month","country"
Inf,2022,4,"Norway"
Inf,2022,4,"Norway"
Inf,2022,5,"Norway"
Inf,2022,5,"Norway"
Inf,2021,1,"United Kingdom of Great Britain and Northern Ireland"
Inf,2021,3,"United Kingdom of Great Britain and Northern Ireland"
Inf,2021,3,"United Kingdom of Great Britain and Northern Ireland"
Inf,2021,3,"United Kingdom of Great Britain and Northern Ireland"
Inf,2021,3,"United Kingdom of Great Britain and Northern Ireland"
Inf,2021,3,"United Kingdom of Great Britain and Northern Ireland"
Inf,2021,4,"Norway"
Inf,2021,4,"Norway"
Inf,2021,6,"United Kingdom of Great Britain and Northern Ireland"
Inf,2021,6,"United Kingdom of Great Britain and Northern Ireland"
Inf,2021,6,"United Kingdom of Great Britain and Northern Ireland"
Inf,2021,6,"Norway"
Inf,2021,6,"Norway"
Inf,2021,6,"Norway"
Inf,2021,8,"United Kingdom of Great Britain and Northern Ireland"
Inf,2021,9,"United Kingdom of Great Britain and Northern Ireland"
Inf,2020,6,"Norway"
Inf,2020,8,"United Kingdom of Great Britain and Northern Ireland"
Inf,2020,9,"United Kingdom of Great Britain and Northern Ireland"
Inf,2020,10,"France"
Inf,2019,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2019,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2019,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2019,7,"Sweden"
Inf,2019,8,"United Kingdom of Great Britain and Northern Ireland"
Inf,2019,9,"United Kingdom of Great Britain and Northern Ireland"
Inf,2019,9,"United Kingdom of Great Britain and Northern Ireland"
Inf,2019,9,"United Kingdom of Great Britain and Northern Ireland"
Inf,2018,4,"United Kingdom of Great Britain and Northern Ireland"
Inf,2018,4,"Norway"
Inf,2017,1,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,1,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,3,"Ireland"
Inf,2017,5,"Ireland"
Inf,2017,5,"Ireland"
Inf,2017,5,"Ireland"
Inf,2017,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,5,"Ireland"
Inf,2017,5,"Ireland"
Inf,2017,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,7,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,9,"United Kingdom of Great Britain and Northern Ireland"
Inf,2017,9,"United Kingdom of Great Britain and Northern Ireland"
Inf,2016,2,"France"
Inf,2016,2,"France"
Inf,2016,2,"United Kingdom of Great Britain and Northern Ireland"
Inf,2016,2,"France"
Inf,2016,4,"United Kingdom of Great Britain and Northern Ireland"
Inf,2016,4,"United Kingdom of Great Britain and Northern Ireland"
Inf,2016,4,"United Kingdom of Great Britain and Northern Ireland"
Inf,2016,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2016,5,"Guernsey"
Inf,2016,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2016,5,"Guernsey"
Inf,2016,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2016,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2016,5,"Guernsey"
Inf,2016,5,"United Kingdom of Great Britain and Northern Ireland"
Inf,2016,5,"United Kingdom of Great Britain and Northern Ireland"
