"x","year","month","country"
Inf,2024,3,"Portugal"
Inf,2023,4,"France"
Inf,2023,4,"France"
Inf,2023,4,"France"
Inf,2023,5,"France"
Inf,2023,5,"Netherlands"
Inf,2023,6,"France"
Inf,2023,6,"France"
Inf,2023,6,"France"
Inf,2023,7,"France"
Inf,2023,7,"France"
Inf,2023,8,"Portugal"
Inf,2023,9,"France"
Inf,2023,10,"France"
Inf,2023,11,"Italy"
Inf,2023,11,"Italy"
Inf,2022,1,"France"
Inf,2022,1,"France"
Inf,2022,1,"France"
Inf,2022,3,"France"
Inf,2022,3,"France"
Inf,2022,3,"France"
Inf,2022,4,"France"
Inf,2022,4,"France"
Inf,2022,5,"Albania"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,5,"France"
Inf,2022,6,"Portugal"
Inf,2022,6,"France"
Inf,2022,6,"France"
Inf,2022,8,"France"
Inf,2022,9,"Italy"
Inf,2022,9,"Spain"
Inf,2022,9,"Spain"
Inf,2022,11,"France"
Inf,2022,11,"France"
Inf,2022,11,"France"
Inf,2022,11,"France"
Inf,2022,12,"France"
Inf,2021,2,"Portugal"
Inf,2021,3,"France"
Inf,2021,3,"Croatia"
Inf,2021,4,"France"
Inf,2021,4,"France"
Inf,2021,5,"France"
Inf,2021,5,"France"
Inf,2021,6,"France"
Inf,2021,6,"France"
Inf,2021,6,"France"
Inf,2021,6,"France"
Inf,2021,6,"France"
Inf,2021,6,"France"
Inf,2021,6,"France"
Inf,2021,6,"France"
Inf,2021,7,"France"
Inf,2021,8,"Portugal"
Inf,2021,9,"France"
Inf,2021,9,"France"
Inf,2021,9,"France"
Inf,2021,9,"France"
Inf,2021,10,"France"
Inf,2021,10,"Portugal"
Inf,2021,10,"France"
Inf,2021,10,"France"
Inf,2021,10,"France"
Inf,2021,10,"France"
Inf,2021,10,"France"
Inf,2021,11,"France"
Inf,2021,11,"France"
Inf,2021,12,"Italy"
Inf,2020,3,"France"
Inf,2020,5,"France"
Inf,2020,5,"France"
Inf,2020,6,"France"
Inf,2020,6,"France"
Inf,2020,6,"France"
Inf,2020,6,"France"
Inf,2020,6,"France"
Inf,2020,7,"France"
Inf,2020,7,"France"
Inf,2020,8,"France"
Inf,2020,9,"France"
Inf,2020,9,"Spain"
Inf,2020,9,"France"
Inf,2020,9,"Spain"
Inf,2020,9,"France"
Inf,2020,9,"Spain"
Inf,2020,10,"France"
Inf,2020,10,"France"
Inf,2020,10,"France"
Inf,2020,11,"France"
Inf,2020,12,"Portugal"
Inf,2020,12,"France"
Inf,2020,12,"France"
Inf,2019,3,"Portugal"
Inf,2019,3,"France"
Inf,2019,3,"France"
Inf,2019,3,"Portugal"
Inf,2019,4,"Portugal"
Inf,2019,4,"Portugal"
Inf,2019,4,"France"
Inf,2019,5,"France"
Inf,2019,5,"France"
Inf,2019,5,"France"
Inf,2019,5,"France"
Inf,2019,5,"France"
Inf,2019,5,"France"
Inf,2019,5,"France"
Inf,2019,5,"France"
Inf,2019,6,"Portugal"
Inf,2019,6,"France"
Inf,2019,7,"France"
Inf,2019,9,"Portugal"
Inf,2019,9,"France"
Inf,2019,9,"France"
Inf,2019,9,"France"
Inf,2019,9,"France"
Inf,2019,9,"France"
Inf,2019,9,"France"
Inf,2019,10,"Spain"
Inf,2019,10,"France"
Inf,2019,12,"France"
Inf,2018,3,"France"
Inf,2018,3,"France"
Inf,2018,3,"France"
Inf,2018,3,"France"
Inf,2018,3,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,4,"France"
Inf,2018,5,"France"
Inf,2018,5,"France"
Inf,2018,6,"France"
Inf,2018,6,"France"
Inf,2018,7,"France"
Inf,2018,7,"France"
Inf,2018,7,"France"
Inf,2018,7,"France"
Inf,2018,7,"France"
Inf,2018,8,"France"
Inf,2018,8,"France"
Inf,2018,8,"France"
Inf,2018,8,"France"
Inf,2018,9,"France"
Inf,2018,9,"France"
Inf,2018,9,"France"
Inf,2018,9,"France"
Inf,2018,9,"France"
Inf,2018,9,"France"
Inf,2018,9,"France"
Inf,2018,9,"France"
Inf,2018,10,"France"
Inf,2018,10,"France"
Inf,2018,10,"France"
Inf,2018,10,"France"
Inf,2018,10,"France"
Inf,2018,11,"Spain"
Inf,2018,11,"France"
Inf,2018,11,"France"
Inf,2018,11,"France"
Inf,2017,1,"France"
Inf,2017,5,"France"
Inf,2017,5,"France"
Inf,2017,5,"France"
Inf,2017,5,"France"
Inf,2017,6,"France"
Inf,2017,6,"France"
Inf,2017,7,"France"
Inf,2017,10,"France"
Inf,2017,11,"France"
Inf,2016,6,"Portugal"
Inf,2016,6,"France"
Inf,2016,6,"Portugal"
Inf,2015,5,"France"
Inf,2015,10,"France"
Inf,2014,8,"United Kingdom of Great Britain and Northern Ireland"
Inf,2014,8,"France"
Inf,2014,8,"United Kingdom of Great Britain and Northern Ireland"
Inf,2014,8,"France"
Inf,2014,9,"United Kingdom of Great Britain and Northern Ireland"
Inf,2014,9,"United Kingdom of Great Britain and Northern Ireland"
Inf,2014,9,"United Kingdom of Great Britain and Northern Ireland"
Inf,2013,4,"France"
Inf,2013,4,"France"
Inf,2013,4,"France"
Inf,2013,4,"France"
Inf,2012,3,"United Kingdom of Great Britain and Northern Ireland"
Inf,2008,7,"Portugal"
Inf,2008,7,"Portugal"
Inf,1998,8,"Greece"
Inf,1960,6,"United Kingdom of Great Britain and Northern Ireland"
Inf,NA,NA,"United Kingdom of Great Britain and Northern Ireland"
Inf,NA,NA,"United Kingdom of Great Britain and Northern Ireland"
Inf,NA,NA,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2016,4,"Portugal"
Inf,2011,3,"United Kingdom of Great Britain and Northern Ireland"
Inf,2010,2,"United Kingdom of Great Britain and Northern Ireland"
Inf,2010,11,"United Kingdom of Great Britain and Northern Ireland"
Inf,1988,1,"United Kingdom of Great Britain and Northern Ireland"
Inf,1976,6,"United Kingdom of Great Britain and Northern Ireland"
Inf,1974,1,"United Kingdom of Great Britain and Northern Ireland"
Inf,1958,1,"United Kingdom of Great Britain and Northern Ireland"
Inf,1958,1,"United Kingdom of Great Britain and Northern Ireland"
Inf,1958,1,"United Kingdom of Great Britain and Northern Ireland"
Inf,1956,1,"United Kingdom of Great Britain and Northern Ireland"
